*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20_100K_nodes.dag
V:100000,E:46917,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q13.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.1410,.0010,.1420,15131,212,423
1,success,.1160,.1670,.2830,15200,577,38335
2,success,.1090,.0880,.1970,15200,1250,15635
3,success,.0370,.0130,.0500,15189,976,7245
4,success,.0360,.0920,.1280,15132,665,42863
5,success,.0850,.0770,.1620,15201,1368,20014
6,success,.0560,.0630,.1190,15200,1321,22883
7,success,.0450,.0140,.0590,15143,534,3437
8,success,.0540,.0830,.1370,15132,1402,31767
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.0000,.0050,.0010,.0060,25292,188,143,819
0,success,.0000,.0040,.0000,.0040,25292,188,143,819
0,success,.0000,.0050,.0010,.0060,25292,188,143,819
0,success,.0000,.0030,.0010,.0040,25292,188,143,819
0,success,.0000,.0050,.0010,.0060,25292,188,143,819
0,success,.0000,.0040,.0010,.0050,25292,188,143,819
0,success,.0000,.0040,.0010,.0050,25292,188,143,819
0,success,.0000,.0040,.0000,.0040,25292,188,143,819
0,success,.0000,.0030,.0000,.0030,25292,188,143,819
0,success,.0000,.0020,.0010,.0030,25292,188,143,819
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.0000,.0039,.0007,.0046,25292,188,143,819

Data loading Time,.2650
Index building Time,.1300
Average Eval Time per run,.0274
Average Eval Time per query,.0274
Average pruning Time per run,.0000
Average pruning Time per query,.0000
Average Matching Time per run,.0233
Average Matching Time per query,.0233
Average Enumeration Time per run,.0041
Average Enumeration Time per query,.0041
Average Nodes before per query,25292.0000
Average Nodes after per query,188.0000
Average number of solution tuples per query,143.0000
Max Used Memory,350.0000 MB
*****************************************************
