*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20_120K_nodes.dag
V:120000,E:74074,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_acyc_m_q4_2Eviews.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.0730,.0590,.1320,17996,631,3277
1,success,.0990,.2540,.3530,18086,2113,40985
2,success,.0480,.0250,.0730,17987,1503,8595
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.0000,.0040,.0210,.0250,29801,1681,181296,6048
0,success,.0000,.0040,.0340,.0380,29801,1681,181296,6048
0,success,.0000,.0040,.0210,.0250,29801,1681,181296,6048
0,success,.0000,.0030,.0200,.0230,29801,1681,181296,6048
0,success,.0000,.0040,.0230,.0270,29801,1681,181296,6048
0,success,.0000,.0050,.0220,.0270,29801,1681,181296,6048
0,success,.0000,.0030,.0240,.0270,29801,1681,181296,6048
0,success,.0000,.0040,.0210,.0250,29801,1681,181296,6048
0,success,.0000,.0040,.0230,.0270,29801,1681,181296,6048
0,success,.0000,.0030,.0230,.0260,29801,1681,181296,6048
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.0000,.0038,.0232,.0270,29801,1681,181296,6048

Data loading Time,.2810
Index building Time,.0630
Average Eval Time per run,.1513
Average Eval Time per query,.1513
Average pruning Time per run,.0000
Average pruning Time per query,.0000
Average Matching Time per run,.0213
Average Matching Time per query,.0213
Average Enumeration Time per run,.1300
Average Enumeration Time per query,.1300
Average Nodes before per query,29801.0000
Average Nodes after per query,1681.0000
Average number of solution tuples per query,181296.0000
Max Used Memory,534.0000 MB
*****************************************************
