*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20_120K_nodes.dag
V:120000,E:74074,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q13.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.92,.00,.03,.01,.96,30531,278,237,0,2350
0,success,.65,.00,.02,.00,.67,30531,278,237,0,2350
0,success,.73,.00,.01,.00,.74,30531,278,237,0,2350
0,success,.63,.00,.01,.00,.64,30531,278,237,0,2350
0,success,.61,.00,.01,.00,.62,30531,278,237,0,2350
0,success,.73,.00,.01,.00,.74,30531,278,237,0,2350
0,success,.58,.00,.01,.00,.59,30531,278,237,0,2350
0,success,.63,.00,.01,.00,.65,30531,278,237,0,2350
0,success,.79,.00,.02,.00,.81,30531,278,237,0,2350
0,success,.69,.00,.01,.00,.70,30531,278,237,0,2350
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.70,.00,.01,.00,.71,30531,278,237,0,2350

Data loading Time,.62
Index building Time,.21
Average Eval Time per run,4.01
Average Eval Time per query,4.01
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.08
Average Matching Time per query,.08
Average Enumeration Time per run,.01
Average Enumeration Time per query,.01
Average Nodes before per query,30531.00
Average Nodes after per query,278.00
Average number of solution tuples per query,237.00
Max Used Memory,100.00 MB
*****************************************************
