*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20_120K_nodes.dag
V:120000,E:74074,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q13.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.0620,.0000,.0620,18238,258,515
1,success,.0710,.6440,.7150,18370,824,72110
2,success,.0560,.4040,.4600,18370,1963,38324
3,success,.0680,.0590,.1270,18363,1537,11751
4,success,.0570,.5110,.5680,18238,897,79612
5,success,.0530,.2390,.2920,18370,2098,36198
6,success,.0720,.1570,.2290,18370,1968,40802
7,success,.0460,.0330,.0790,18245,706,5175
8,success,.0730,.2870,.3600,18238,2080,59924
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.0000,.0040,.0010,.0050,30531,315,237,3502
0,success,.0000,.0040,.0000,.0040,30531,315,237,3502
0,success,.0000,.0050,.0010,.0060,30531,315,237,3502
0,success,.0000,.0030,.0000,.0030,30531,315,237,3502
0,success,.0000,.0020,.0010,.0030,30531,315,237,3502
0,success,.0000,.0020,.0010,.0030,30531,315,237,3502
0,success,.0000,.0020,.0010,.0030,30531,315,237,3502
0,success,.0000,.0040,.0010,.0050,30531,315,237,3502
0,success,.0000,.0020,.0000,.0020,30531,315,237,3502
0,success,.0000,.0020,.0000,.0020,30531,315,237,3502
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.0000,.0030,.0006,.0036,30531,315,237,3502

Data loading Time,.2150
Index building Time,.0640
Average Eval Time per run,.0221
Average Eval Time per query,.0221
Average pruning Time per run,.0000
Average pruning Time per query,.0000
Average Matching Time per run,.0185
Average Matching Time per query,.0185
Average Enumeration Time per run,.0036
Average Enumeration Time per query,.0036
Average Nodes before per query,30531.0000
Average Nodes after per query,315.0000
Average number of solution tuples per query,237.0000
Max Used Memory,674.0000 MB
*****************************************************
