*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20_60K_nodes.dag
V:60000,E:16780,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_acyc_m_q5_2Eviews.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.10,.00,.01,.06,.16,15141,429,179364,0,1163
0,success,.03,.00,.00,.04,.06,15141,429,179364,0,1163
0,success,.05,.00,.00,.06,.11,15141,429,179364,0,1163
0,success,.02,.00,.00,.04,.06,15141,429,179364,0,1163
0,success,.02,.00,.00,.04,.06,15141,429,179364,0,1163
0,success,.01,.00,.00,.03,.05,15141,429,179364,0,1163
0,success,.01,.00,.00,.02,.04,15141,429,179364,0,1163
0,success,.01,.00,.00,.02,.04,15141,429,179364,0,1163
0,success,.01,.00,.00,.02,.03,15141,429,179364,0,1163
0,success,.02,.00,.00,.02,.04,15141,429,179364,0,1163
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.03,.00,.00,.04,.07,15141,429,179364,0,1163

Data loading Time,.40
Index building Time,.08
Average Eval Time per run,.45
Average Eval Time per query,.45
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.01
Average Enumeration Time per run,.23
Average Enumeration Time per query,.23
Average Nodes before per query,15141.00
Average Nodes after per query,429.00
Average number of solution tuples per query,179364.00
Max Used Memory,47.00 MB
*****************************************************
