*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_3Eviews_q10.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.10,.00,.00,.00,.11,53026,27,7,0,84
0,success,.05,.00,.00,.00,.05,53026,27,7,0,84
0,success,.05,.00,.00,.00,.05,53026,27,7,0,84
0,success,.05,.00,.00,.00,.05,53026,27,7,0,84
0,success,.04,.00,.00,.00,.04,53026,27,7,0,84
0,success,.19,.00,.00,.00,.19,53026,27,7,0,84
0,success,.03,.00,.00,.00,.03,53026,27,7,0,84
0,success,.04,.00,.00,.00,.04,53026,27,7,0,84
0,success,.03,.00,.00,.00,.03,53026,27,7,0,84
0,success,.04,.00,.00,.00,.04,53026,27,7,0,84
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.06,.00,.00,.00,.06,53026,27,7,0,84

Data loading Time,.86
Index building Time,.23
Average Eval Time per run,.38
Average Eval Time per query,.38
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.00
Average Matching Time per query,.00
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,53026.00
Average Nodes after per query,27.00
Average number of solution tuples per query,7.00
Max Used Memory,1660.00 MB
*****************************************************
