*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_3Eviews_q14.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.30,.00,.30,52942,1371,2751
1,success,.25,.00,.25,53503,318,670
2,success,.24,.00,.24,53353,622,1281
3,success,.25,.00,.25,39510,45,114
4,success,.22,.00,.22,40064,49,131
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.00,.00,.00,79733,78,0,169
0,success,.00,.00,.00,.00,79733,78,0,169
0,success,.00,.00,.00,.00,79733,78,0,169
0,success,.00,.00,.00,.00,79733,78,0,169
0,success,.00,.00,.00,.00,79733,78,0,169
0,success,.00,.00,.00,.00,79733,78,0,169
0,success,.00,.00,.00,.00,79733,78,0,169
0,success,.00,.00,.00,.00,79733,78,0,169
0,success,.00,.00,.00,.00,79733,78,0,169
0,success,.00,.00,.00,.00,79733,78,0,169
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.00,.00,.00,79733,78,0,169

Data loading Time,1.01
Index building Time,.25
Average Eval Time per run,.00
Average Eval Time per query,.00
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.00
Average Matching Time per query,.00
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,79733.00
Average Nodes after per query,78.00
Average number of solution tuples per query,.00
Max Used Memory,2592.00 MB
*****************************************************
