*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_3Eviews_q16.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.18,.00,.18,53181,460,924
1,success,.19,.00,.19,53300,1101,2240
2,success,.24,.00,.25,53255,797,1645
3,success,.44,.00,.44,53181,750,1530
4,success,.19,.00,.20,53012,637,1291
5,success,.17,.00,.17,39955,25,57
6,success,.20,.00,.20,53012,431,877
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.00,.00,.00,79702,9,0,14
0,success,.00,.00,.00,.00,79702,9,0,14
0,success,.00,.00,.00,.00,79702,9,0,14
0,success,.00,.00,.00,.00,79702,9,0,14
0,success,.00,.00,.00,.00,79702,9,0,14
0,success,.00,.00,.00,.00,79702,9,0,14
0,success,.00,.00,.00,.00,79702,9,0,14
0,success,.00,.00,.00,.00,79702,9,0,14
0,success,.00,.00,.00,.00,79702,9,0,14
0,success,.00,.00,.00,.00,79702,9,0,14
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.00,.00,.00,79702,9,0,14

Data loading Time,.80
Index building Time,.16
Average Eval Time per run,.01
Average Eval Time per query,.01
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.00
Average Matching Time per query,.00
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,79702.00
Average Nodes after per query,9.00
Average number of solution tuples per query,.00
Max Used Memory,2592.00 MB
*****************************************************
