*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_combQrys__15_2Eviews_ovl_1_10_2DE_6numE.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,exceedLimit,1.87,.00,2.25,.00,22.80,79342,3416,100000000,0,647963
0,exceedLimit,1.81,.00,2.23,.00,17.34,79342,3416,100000000,0,647963
0,exceedLimit,2.08,.00,2.50,.00,18.19,79342,3416,100000000,0,647963
0,exceedLimit,1.77,.00,2.69,.00,21.39,79342,3416,100000000,0,647963
0,exceedLimit,1.97,.00,2.18,.00,17.24,79342,3416,100000000,0,647963
0,exceedLimit,1.76,.00,2.08,.00,19.60,79342,3416,100000000,0,647963
0,exceedLimit,1.88,.00,2.44,.00,20.08,79342,3416,100000000,0,647963
0,exceedLimit,1.81,.00,2.68,.00,23.32,79342,3416,100000000,0,647963
0,exceedLimit,2.08,.00,2.43,.00,19.29,79342,3416,100000000,0,647963
0,exceedLimit,1.82,.00,2.25,.00,20.40,79342,3416,100000000,0,647963
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,exceedLimit,1.89,.00,2.37,.00,19.97,79342,3416,100000000,0,647963

Data loading Time,.67
Index building Time,.22
Average Eval Time per run,109.00
Average Eval Time per query,109.00
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,12.98
Average Matching Time per query,12.98
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,79342.00
Average Nodes after per query,3416.00
Average number of solution tuples per query,100000000.00
Max Used Memory,930.00 MB
*****************************************************
