*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_combQrys__15_numE_4_2Eviews_ovl_1_10.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.53,.00,.07,1.54,2.14,65978,7532,9390424,0,176171
0,success,.30,.00,.06,1.43,1.79,65978,7532,9390424,0,176171
0,success,.36,.00,.04,1.75,2.14,65978,7532,9390424,0,176171
0,success,.26,.00,.05,1.72,2.03,65978,7532,9390424,0,176171
0,success,.28,.00,.06,1.66,2.00,65978,7532,9390424,0,176171
0,success,.27,.00,.04,1.62,1.93,65978,7532,9390424,0,176171
0,success,.23,.00,.04,1.75,2.02,65978,7532,9390424,0,176171
0,success,.24,.00,.06,1.61,1.91,65978,7532,9390424,0,176171
0,success,.23,.00,.03,1.37,1.63,65978,7532,9390424,0,176171
0,success,.56,.00,.04,2.48,3.08,65978,7532,9390424,0,176171
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.33,.00,.05,1.69,2.07,65978,7532,9390424,0,176171

Data loading Time,1.27
Index building Time,.38
Average Eval Time per run,11.07
Average Eval Time per query,11.07
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.29
Average Matching Time per query,.29
Average Enumeration Time per run,8.95
Average Enumeration Time per query,8.95
Average Nodes before per query,65978.00
Average Nodes after per query,7532.00
Average number of solution tuples per query,9390424.00
Max Used Memory,292.00 MB
*****************************************************
