*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q12.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.27,.00,2.71,.00,2.98,66524,10372,1,0,1513921
0,success,.18,.00,1.69,.00,1.88,66524,10372,1,0,1513921
0,success,.18,.00,1.41,.01,1.60,66524,10372,1,0,1513921
0,success,.18,.00,1.70,.00,1.88,66524,10372,1,0,1513921
0,success,.17,.00,1.67,.00,1.84,66524,10372,1,0,1513921
0,success,.16,.00,1.44,.00,1.60,66524,10372,1,0,1513921
0,success,.38,.00,1.39,.00,1.77,66524,10372,1,0,1513921
0,success,.20,.00,1.68,.01,1.88,66524,10372,1,0,1513921
0,success,.16,.00,2.02,.00,2.18,66524,10372,1,0,1513921
0,success,.23,.00,2.31,.00,2.55,66524,10372,1,0,1513921
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.21,.00,1.80,.00,2.02,66524,10372,1,0,1513921

Data loading Time,.85
Index building Time,.25
Average Eval Time per run,11.14
Average Eval Time per query,11.14
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,9.97
Average Matching Time per query,9.97
Average Enumeration Time per run,.02
Average Enumeration Time per query,.02
Average Nodes before per query,66524.00
Average Nodes after per query,10372.00
Average number of solution tuples per query,1.00
Max Used Memory,1724.00 MB
*****************************************************
