*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews0.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.20,.00,1.47,.27,1.94,39736,9775,18281,0,1318000
0,success,.15,.00,1.70,.40,2.24,39736,9775,18281,0,1318000
0,success,.13,.00,1.45,.37,1.96,39736,9775,18281,0,1318000
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.16,.00,1.54,.35,2.05,39736,9775,18281,0,1318000

Data loading Time,.65
Index building Time,.18
Average Eval Time per run,4.09
Average Eval Time per query,4.09
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,3.09
Average Matching Time per query,3.09
Average Enumeration Time per run,.66
Average Enumeration Time per query,.66
Average Nodes before per query,39736.00
Average Nodes after per query,9775.00
Average number of solution tuples per query,18281.00
Max Used Memory,1556.00 MB
*****************************************************
