*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q11.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.16,.00,1.27,.01,1.44,52862,10086,14,0,1201734
0,success,.14,.00,1.27,.01,1.42,52862,10086,14,0,1201734
0,success,.19,.00,1.25,.01,1.45,52862,10086,14,0,1201734
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.17,.00,1.26,.01,1.43,52862,10086,14,0,1201734

Data loading Time,.64
Index building Time,.20
Average Eval Time per run,2.87
Average Eval Time per query,2.87
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,2.53
Average Matching Time per query,2.53
Average Enumeration Time per run,.01
Average Enumeration Time per query,.01
Average Nodes before per query,52862.00
Average Nodes after per query,10086.00
Average number of solution tuples per query,14.00
Max Used Memory,2812.00 MB
*****************************************************
