*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q16.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,51.16,.00,.43,.16,51.75,79469,1371,1029072,0,43868
0,success,57.91,.00,.51,.17,58.59,79469,1371,1029072,0,43868
0,success,50.95,.00,.37,.16,51.47,79469,1371,1029072,0,43868
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,53.34,.00,.43,.17,53.94,79469,1371,1029072,0,43868

Data loading Time,.70
Index building Time,.14
Average Eval Time per run,107.96
Average Eval Time per query,107.96
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.89
Average Matching Time per query,.89
Average Enumeration Time per run,.33
Average Enumeration Time per query,.33
Average Nodes before per query,79469.00
Average Nodes after per query,1371.00
Average number of solution tuples per query,1029072.00
Max Used Memory,1115.00 MB
*****************************************************
