*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews0.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.17,.00,1.45,.24,1.85,39736,9775,18281,0,1318000
0,success,.16,.00,1.27,.27,1.70,39736,9775,18281,0,1318000
0,success,.14,.00,1.51,.26,1.91,39736,9775,18281,0,1318000
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.15,.00,1.41,.25,1.82,39736,9775,18281,0,1318000

Data loading Time,.73
Index building Time,.16
Average Eval Time per run,3.62
Average Eval Time per query,3.62
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,2.80
Average Matching Time per query,2.80
Average Enumeration Time per run,.50
Average Enumeration Time per query,.50
Average Nodes before per query,39736.00
Average Nodes after per query,9775.00
Average number of solution tuples per query,18281.00
Max Used Memory,1440.00 MB
*****************************************************
