*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q16.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.23,.00,3.88,.76,4.86,79469,10766,1029072,0,1343559
0,success,.14,.00,2.58,.47,3.19,79469,10766,1029072,0,1343559
0,success,.14,.00,2.53,.57,3.24,79469,10766,1029072,0,1343559
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.17,.00,2.99,.60,3.76,79469,10766,1029072,0,1343559

Data loading Time,.68
Index building Time,.17
Average Eval Time per run,8.07
Average Eval Time per query,8.07
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,6.44
Average Matching Time per query,6.44
Average Enumeration Time per run,1.27
Average Enumeration Time per query,1.27
Average Nodes before per query,79469.00
Average Nodes after per query,10766.00
Average number of solution tuples per query,1029072.00
Max Used Memory,2824.00 MB
*****************************************************
