*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q7.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.38,.00,.07,.01,.46,53443,685,50083,0,23681
0,success,.45,.00,.07,.01,.53,53443,685,50083,0,23681
0,success,.39,.00,.07,.01,.46,53443,685,50083,0,23681
0,success,.37,.00,.09,.01,.46,53443,685,50083,0,23681
0,success,.41,.00,.07,.01,.48,53443,685,50083,0,23681
0,success,.41,.00,.07,.01,.48,53443,685,50083,0,23681
0,success,.50,.00,.10,.01,.61,53443,685,50083,0,23681
0,success,.48,.00,.08,.01,.57,53443,685,50083,0,23681
0,success,.54,.00,.10,.01,.64,53443,685,50083,0,23681
0,success,.55,.00,.09,.01,.65,53443,685,50083,0,23681
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.45,.00,.08,.01,.53,53443,685,50083,0,23681

Data loading Time,.83
Index building Time,.14
Average Eval Time per run,2.77
Average Eval Time per query,2.77
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.41
Average Matching Time per query,.41
Average Enumeration Time per run,.04
Average Enumeration Time per query,.04
Average Nodes before per query,53443.00
Average Nodes after per query,685.00
Average number of solution tuples per query,50083.00
Max Used Memory,1808.00 MB
*****************************************************
