*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2to3Eviews_q10.qry
Algorithm:DagEval_ansgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.44,.04,.47,39833,161,3146
1,success,.16,.27,.43,39844,550,49221
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.01,.00,.01,53133,420,6318,12129
0,success,.00,.00,.00,.01,53133,420,6318,12129
0,success,.00,.01,.00,.01,53133,420,6318,12129
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.01,.00,.01,53133,420,6318,12129

Data loading Time,1.56
Index building Time,.44
Average Eval Time per run,.02
Average Eval Time per query,.02
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.01
Average Enumeration Time per run,.01
Average Enumeration Time per query,.01
Average Nodes before per query,53133.00
Average Nodes after per query,420.00
Average number of solution tuples per query,6318.00
Max Used Memory,398.00 MB
*****************************************************
