*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2to3Eviews_q13.qry
Algorithm:DagEval_ansgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.43,.01,.44,40021,1056,2125
1,success,.20,.17,.37,40265,7669,416451
2,success,.24,.46,.70,40075,3540,72849
3,success,.17,.15,.32,40188,552,49434
4,success,.29,.04,.33,40319,7291,103562
5,success,.14,.10,.24,40152,502,40789
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.01,.04,.05,66962,492,476685,20616
0,success,.00,.01,.04,.06,66962,492,476685,20616
0,success,.00,.01,.05,.06,66962,492,476685,20616
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.01,.05,.05,66962,492,476685,20616

Data loading Time,1.26
Index building Time,.41
Average Eval Time per run,.11
Average Eval Time per query,.11
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.02
Average Matching Time per query,.02
Average Enumeration Time per run,.09
Average Enumeration Time per query,.09
Average Nodes before per query,66962.00
Average Nodes after per query,492.00
Average number of solution tuples per query,476685.00
Max Used Memory,742.00 MB
*****************************************************
