*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2to3Eviews_q16.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,1.22,16.77,17.99,39846,8517,1741399
1,success,.39,3.85,4.24,39689,10153,1554952
2,success,3.55,.72,4.27,39492,990,108538
3,success,.22,1.82,2.04,39689,7606,474199
4,success,.16,.00,.16,39649,520,1039
5,success,1.72,4.75,6.48,39977,4053,1458309
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.01,.15,.16,79469,1502,1029072,49521
0,success,.00,.01,.15,.16,79469,1502,1029072,49521
0,success,.00,.01,.15,.16,79469,1502,1029072,49521
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.01,.15,.16,79469,1502,1029072,49521

Data loading Time,.67
Index building Time,.19
Average Eval Time per run,.32
Average Eval Time per query,.32
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.02
Average Matching Time per query,.02
Average Enumeration Time per run,.31
Average Enumeration Time per query,.31
Average Nodes before per query,79469.00
Average Nodes after per query,1502.00
Average number of solution tuples per query,1029072.00
Max Used Memory,1465.00 MB
*****************************************************
