*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_3Eviews_ovl_1_q13.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.28,1.24,1.52,53530,3708,1241251
1,success,.19,1.89,2.08,53584,6191,1436332
2,success,.22,.30,.52,40188,1570,194292
3,success,.39,1.70,2.10,53697,10327,1398185
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.01,.14,.16,66962,1587,709258,133505
0,success,.00,.02,.14,.16,66962,1587,709258,133505
0,success,.00,.02,.18,.20,66962,1587,709258,133505
0,success,.00,.02,.17,.19,66962,1587,709258,133505
0,success,.00,.02,.16,.18,66962,1587,709258,133505
0,success,.00,.02,.16,.18,66962,1587,709258,133505
0,success,.00,.02,.16,.17,66962,1587,709258,133505
0,success,.00,.02,.16,.17,66962,1587,709258,133505
0,success,.00,.02,.15,.16,66962,1587,709258,133505
0,success,.00,.02,.19,.21,66962,1587,709258,133505
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.02,.16,.18,66962,1587,709258,133505

Data loading Time,.65
Index building Time,.15
Average Eval Time per run,.97
Average Eval Time per query,.97
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.10
Average Matching Time per query,.10
Average Enumeration Time per run,.87
Average Enumeration Time per query,.87
Average Nodes before per query,66962.00
Average Nodes after per query,1587.00
Average number of solution tuples per query,709258.00
Max Used Memory,1455.00 MB
*****************************************************
