*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_3Eviews_ovl_5_q10.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.41,.08,.49,39833,592,16450
1,success,.29,.88,1.17,53133,8433,1233082
2,success,1.79,2.44,4.23,53133,10222,1354518
3,success,.92,2.06,2.98,53133,3646,417321
4,success,.40,.53,.93,53133,9839,389807
5,success,1.20,11.20,12.40,53133,10794,1868868
6,success,.15,.17,.32,39844,1205,153229
7,success,.26,3.02,3.28,53133,14961,1643659
8,success,2.23,3.52,5.75,53133,3967,1185747
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.02,.03,.05,53133,818,6318,25854
0,success,.00,.03,.00,.03,53133,818,6318,25854
0,success,.00,.02,.00,.02,53133,818,6318,25854
0,success,.00,.02,.00,.02,53133,818,6318,25854
0,success,.00,.02,.00,.02,53133,818,6318,25854
0,success,.00,.01,.00,.01,53133,818,6318,25854
0,success,.00,.01,.01,.02,53133,818,6318,25854
0,success,.00,.01,.01,.02,53133,818,6318,25854
0,success,.00,.01,.00,.01,53133,818,6318,25854
0,success,.00,.01,.01,.02,53133,818,6318,25854
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.02,.01,.02,53133,818,6318,25854

Data loading Time,1.46
Index building Time,.38
Average Eval Time per run,.14
Average Eval Time per query,.14
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.10
Average Matching Time per query,.10
Average Enumeration Time per run,.05
Average Enumeration Time per query,.05
Average Nodes before per query,53133.00
Average Nodes after per query,818.00
Average number of solution tuples per query,6318.00
Max Used Memory,1205.00 MB
*****************************************************
