*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_1Eviews_q12.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.30,.00,.02,.00,.32,66267,10152,0,0,12943
0,success,.19,.00,.17,.00,.36,66267,10152,0,0,12943
0,success,.20,.00,.02,.00,.22,66267,10152,0,0,12943
0,success,.24,.00,.02,.00,.27,66267,10152,0,0,12943
0,success,.23,.00,.03,.00,.26,66267,10152,0,0,12943
0,success,.21,.00,.03,.00,.23,66267,10152,0,0,12943
0,success,.28,.00,.03,.00,.30,66267,10152,0,0,12943
0,success,.17,.00,.20,.00,.38,66267,10152,0,0,12943
0,success,.16,.00,.01,.00,.17,66267,10152,0,0,12943
0,success,.16,.00,.01,.00,.18,66267,10152,0,0,12943
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.21,.00,.05,.00,.27,66267,10152,0,0,12943

Data loading Time,.84
Index building Time,.24
Average Eval Time per run,1.57
Average Eval Time per query,1.57
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.31
Average Matching Time per query,.31
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,66267.00
Average Nodes after per query,10152.00
Average number of solution tuples per query,.00
Max Used Memory,2305.00 MB
*****************************************************
