*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_1Eviews_q15.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.20,.00,.20,26652,955,1855
1,success,.17,.00,.17,26236,808,1514
2,success,.35,.00,.36,26390,972,1831
3,success,.16,.00,.16,26442,833,1587
4,success,.18,.00,.18,26454,740,1400
5,success,.20,.00,.20,26236,866,1655
6,success,.18,.00,.18,26664,864,1643
7,success,.14,.00,.14,26390,899,1740
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.00,.00,.00,79342,265,0,609
0,success,.00,.00,.00,.00,79342,265,0,609
0,success,.00,.00,.00,.00,79342,265,0,609
0,success,.00,.00,.00,.00,79342,265,0,609
0,success,.00,.00,.00,.00,79342,265,0,609
0,success,.00,.00,.00,.00,79342,265,0,609
0,success,.00,.00,.00,.00,79342,265,0,609
0,success,.00,.00,.00,.00,79342,265,0,609
0,success,.00,.00,.00,.00,79342,265,0,609
0,success,.00,.00,.00,.00,79342,265,0,609
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.00,.00,.00,79342,265,0,609

Data loading Time,1.36
Index building Time,.20
Average Eval Time per run,.00
Average Eval Time per query,.00
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.00
Average Matching Time per query,.00
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,79342.00
Average Nodes after per query,265.00
Average number of solution tuples per query,.00
Max Used Memory,2305.00 MB
*****************************************************
