*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_combQrys__14_numE_6_2Eviews_ovl_1_4.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,2.88,.00,.01,.01,2.90,66785,71,33,0,338
0,success,2.94,.00,.00,.00,2.95,66785,71,33,0,338
0,success,3.23,.00,.00,.00,3.23,66785,71,33,0,338
0,success,2.63,.00,.00,.00,2.64,66785,71,33,0,338
0,success,2.48,.00,.00,.00,2.48,66785,71,33,0,338
0,success,3.05,.00,.00,.00,3.05,66785,71,33,0,338
0,success,2.49,.00,.00,.00,2.49,66785,71,33,0,338
0,success,2.71,.00,.00,.00,2.71,66785,71,33,0,338
0,success,2.64,.00,.00,.00,2.64,66785,71,33,0,338
0,success,2.70,.00,.00,.00,2.71,66785,71,33,0,338
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,2.77,.00,.00,.00,2.78,66785,71,33,0,338

Data loading Time,1.13
Index building Time,.50
Average Eval Time per run,15.61
Average Eval Time per query,15.61
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.02
Average Matching Time per query,.02
Average Enumeration Time per run,.02
Average Enumeration Time per query,.02
Average Nodes before per query,66785.00
Average Nodes after per query,71.00
Average number of solution tuples per query,33.00
Max Used Memory,270.00 MB
*****************************************************
