*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_combQrys__14_numE_6_2Eviews_ovl_1_4.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.3980,15.6890,16.0870,40071,8727,1046942
1,success,.3490,15.0720,15.4210,40071,8727,1046942
2,success,.2210,.0030,.2240,40064,1419,2862
3,success,1.4130,.6200,2.0330,39994,3339,56937
4,success,.1840,.0000,.1840,40064,546,1107
5,success,.3780,1.8930,2.2710,39844,8747,1344491
6,success,.2970,1.5230,1.8200,39844,8747,1344491
7,success,.1450,.0000,.1450,40214,621,1259
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.0000,.0010,.0010,.0020,66785,170,33,1197
0,success,.0000,.0010,.0000,.0010,66785,170,33,1197
0,success,.0000,.0020,.0010,.0030,66785,170,33,1197
0,success,.0000,.0010,.0000,.0010,66785,170,33,1197
0,success,.0000,.0020,.0000,.0020,66785,170,33,1197
0,success,.0000,.0010,.0000,.0010,66785,170,33,1197
0,success,.0000,.0030,.0000,.0030,66785,170,33,1197
0,success,.0000,.0010,.0000,.0010,66785,170,33,1197
0,success,.0000,.0010,.0000,.0010,66785,170,33,1197
0,success,.0000,.0010,.0000,.0010,66785,170,33,1197
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.0000,.0014,.0002,.0016,66785,170,33,1197

Data loading Time,1.0420
Index building Time,.2100
Average Eval Time per run,.0095
Average Eval Time per query,.0095
Average pruning Time per run,.0000
Average pruning Time per query,.0000
Average Matching Time per run,.0077
Average Matching Time per query,.0077
Average Enumeration Time per run,.0018
Average Enumeration Time per query,.0018
Average Nodes before per query,66785.0000
Average Nodes after per query,170.0000
Average number of solution tuples per query,33.0000
Max Used Memory,1039.0000 MB
*****************************************************
