*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q16.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.15,.00,3.02,1.10,4.28,79469,10766,1029072,0,1343559
0,success,.21,.00,4.63,.56,5.40,79469,10766,1029072,0,1343559
0,success,.19,.00,3.65,.70,4.54,79469,10766,1029072,0,1343559
0,success,.23,.00,3.63,.71,4.58,79469,10766,1029072,0,1343559
0,success,.19,.00,3.45,.68,4.33,79469,10766,1029072,0,1343559
0,success,.18,.00,3.30,.52,4.00,79469,10766,1029072,0,1343559
0,success,.25,.00,3.11,.50,3.86,79469,10766,1029072,0,1343559
0,success,.17,.00,2.70,.46,3.33,79469,10766,1029072,0,1343559
0,success,.17,.00,2.76,.49,3.42,79469,10766,1029072,0,1343559
0,success,.15,.00,2.92,.54,3.61,79469,10766,1029072,0,1343559
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.19,.00,3.32,.63,4.13,79469,10766,1029072,0,1343559

Data loading Time,.86
Index building Time,.16
Average Eval Time per run,24.16
Average Eval Time per query,24.16
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,19.27
Average Matching Time per query,19.27
Average Enumeration Time per run,3.83
Average Enumeration Time per query,3.83
Average Nodes before per query,79469.00
Average Nodes after per query,10766.00
Average number of solution tuples per query,1029072.00
Max Used Memory,3192.00 MB
*****************************************************
