*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q6.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.16,.00,1.02,.47,1.64,39736,9775,18281,0,1318000
0,success,.15,.00,.95,.23,1.33,39736,9775,18281,0,1318000
0,success,.16,.00,1.04,.26,1.46,39736,9775,18281,0,1318000
0,success,.16,.00,.97,.24,1.37,39736,9775,18281,0,1318000
0,success,.18,.00,1.13,.26,1.58,39736,9775,18281,0,1318000
0,success,.15,.00,1.20,.25,1.60,39736,9775,18281,0,1318000
0,success,.16,.00,1.18,.24,1.57,39736,9775,18281,0,1318000
0,success,.14,.00,.98,.27,1.39,39736,9775,18281,0,1318000
0,success,.17,.00,1.34,.24,1.75,39736,9775,18281,0,1318000
0,success,.16,.00,1.19,.19,1.54,39736,9775,18281,0,1318000
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.16,.00,1.10,.26,1.52,39736,9775,18281,0,1318000

Data loading Time,.51
Index building Time,.39
Average Eval Time per run,8.27
Average Eval Time per query,8.27
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,5.81
Average Matching Time per query,5.81
Average Enumeration Time per run,1.57
Average Enumeration Time per query,1.57
Average Nodes before per query,39736.00
Average Nodes after per query,9775.00
Average number of solution tuples per query,18281.00
Max Used Memory,3014.00 MB
*****************************************************
