*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_3Eviews_ovl_5_q11.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.44,.51,.95,52862,8093,951344
1,success,.23,.38,.61,52862,8209,1022301
2,success,.18,.00,.18,39914,387,10489
3,success,.29,1.06,1.35,52862,3535,724496
4,success,.18,1.39,1.57,52862,10086,1200580
5,success,.19,.01,.19,52862,865,21986
6,success,.37,.28,.65,52862,2974,93275
7,success,.25,.45,.70,52862,8965,394534
8,success,1.51,2.87,4.39,52862,10936,1751951
9,success,.21,.08,.29,39430,848,81804
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.00,.00,.00,52862,124,14,2340
0,success,.00,.00,.00,.00,52862,124,14,2340
0,success,.00,.00,.00,.00,52862,124,14,2340
0,success,.00,.00,.00,.00,52862,124,14,2340
0,success,.00,.00,.00,.00,52862,124,14,2340
0,success,.00,.00,.00,.00,52862,124,14,2340
0,success,.00,.00,.00,.00,52862,124,14,2340
0,success,.00,.00,.00,.00,52862,124,14,2340
0,success,.00,.00,.00,.00,52862,124,14,2340
0,success,.00,.00,.00,.00,52862,124,14,2340
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.00,.00,.00,52862,124,14,2340

Data loading Time,.73
Index building Time,.29
Average Eval Time per run,.02
Average Eval Time per query,.02
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.01
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,52862.00
Average Nodes after per query,124.00
Average number of solution tuples per query,14.00
Max Used Memory,1205.00 MB
*****************************************************
