*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_combQrys__6_7_8_v1_3Eviews.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,exceedLimit,.27,.00,2.85,.00,120.84,146499,28158,100000000,0,2705724
0,exceedLimit,.19,.00,2.61,.00,128.56,146499,28158,100000000,0,2705724
0,exceedLimit,.39,.00,3.68,.00,128.52,146499,28158,100000000,0,2705724
0,exceedLimit,.20,.00,2.56,.00,127.08,146499,28158,100000000,0,2705724
0,exceedLimit,.19,.00,2.04,.00,121.21,146499,28158,100000000,0,2705724
0,exceedLimit,.15,.00,1.96,.00,119.80,146499,28158,100000000,0,2705724
0,exceedLimit,.15,.00,1.99,.00,118.69,146499,28158,100000000,0,2705724
0,exceedLimit,.18,.00,4.33,.00,126.83,146499,28158,100000000,0,2705724
0,exceedLimit,.15,.00,2.17,.00,125.54,146499,28158,100000000,0,2705724
0,exceedLimit,.17,.00,2.22,.00,129.36,146499,28158,100000000,0,2705724
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,exceedLimit,.20,.00,2.64,.00,124.64,146499,28158,100000000,0,2705724

Data loading Time,.91
Index building Time,.29
Average Eval Time per run,684.52
Average Eval Time per query,684.52
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,14.89
Average Matching Time per query,14.89
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,146499.00
Average Nodes after per query,28158.00
Average number of solution tuples per query,100000000.00
Max Used Memory,2861.00 MB
*****************************************************
