*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_combQrys__6_7_8_v1_3Eviews.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,exceedLimit,18.80,.00,.06,.00,146.16,146499,1943,100000000,0,103134
0,exceedLimit,16.46,.00,.05,.00,147.36,146499,1943,100000000,0,103134
0,exceedLimit,12.80,.00,.14,.00,143.21,146499,1943,100000000,0,103134
0,exceedLimit,12.30,.00,.04,.00,145.76,146499,1943,100000000,0,103134
0,exceedLimit,17.02,.00,.14,.00,146.62,146499,1943,100000000,0,103134
0,exceedLimit,22.07,.00,.05,.00,158.22,146499,1943,100000000,0,103134
0,exceedLimit,11.98,.00,.05,.00,147.72,146499,1943,100000000,0,103134
0,exceedLimit,19.82,.00,.04,.00,157.05,146499,1943,100000000,0,103134
0,exceedLimit,12.22,.00,.06,.00,159.58,146499,1943,100000000,0,103134
0,exceedLimit,13.58,.00,.04,.00,165.18,146499,1943,100000000,0,103134
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,exceedLimit,15.71,.00,.07,.00,151.69,146499,1943,100000000,0,103134

Data loading Time,1.40
Index building Time,.58
Average Eval Time per run,817.10
Average Eval Time per query,817.10
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.40
Average Matching Time per query,.40
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,146499.00
Average Nodes after per query,1943.00
Average number of solution tuples per query,100000000.00
Max Used Memory,2861.00 MB
*****************************************************
