*****************************************************
Dataset:/home/xiaoying/work/experiments/GraHomMat/input/Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:/home/xiaoying/work/experiments/GraHomMat/input/inst_lb20_cyc_m.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.54,.00,.12,.03,.69,39736,900,18281,0,88085
1,success,.26,.00,.08,.01,.35,53443,684,50083,0,23679
2,success,.24,.00,.01,.00,.25,53320,582,41632,0,2428
3,success,.17,.00,.01,.01,.19,53138,799,52845,0,48040
4,success,.18,.00,.01,.00,.20,53133,819,6318,0,26193
5,success,.17,.00,.00,.00,.17,52862,109,14,0,1810
6,success,.17,.00,.00,.00,.17,66524,60,1,0,543
7,success,.18,.00,.22,.14,.53,66962,1547,709258,0,131764
8,exceedLimit,2.18,.00,.66,.00,5.54,79548,8392,100000000,0,2312940
9,success,.22,.00,.39,7.82,8.44,79849,1357,88129737,0,130566
10,success,1.95,.00,.38,.04,2.37,79469,1381,1029072,0,43530
11,success,.19,.00,.00,.00,.20,79070,486,13871,0,6990
12,success,.21,.00,.52,1.08,1.81,79907,1239,45800291,0,113208
13,success,.57,.00,.00,.00,.57,92857,0,0,0,0
0,success,.29,.00,.04,.01,.34,39736,900,18281,0,88085
1,success,.21,.00,.07,.00,.28,53443,684,50083,0,23679
2,success,.17,.00,.01,.00,.18,53320,582,41632,0,2428
3,success,.20,.00,.01,.00,.21,53138,799,52845,0,48040
4,success,.17,.00,.01,.00,.18,53133,819,6318,0,26193
5,success,.17,.00,.00,.00,.17,52862,109,14,0,1810
6,success,.19,.00,.00,.00,.19,66524,60,1,0,543
7,success,.19,.00,.15,.31,.65,66962,1547,709258,0,131764
8,exceedLimit,2.02,.00,.47,.00,4.67,79548,8392,100000000,0,2312940
9,success,.18,.00,.33,6.98,7.50,79849,1357,88129737,0,130566
10,success,1.96,.00,.36,.04,2.36,79469,1381,1029072,0,43530
11,success,.18,.00,.01,.00,.19,79070,486,13871,0,6990
12,success,.21,.00,.51,1.19,1.90,79907,1239,45800291,0,113208
13,success,.60,.00,.00,.00,.60,92857,0,0,0,0
0,success,.30,.00,.04,.01,.34,39736,900,18281,0,88085
1,success,.22,.00,.06,.00,.28,53443,684,50083,0,23679
2,success,.18,.00,.01,.00,.18,53320,582,41632,0,2428
3,success,.18,.00,.01,.01,.20,53138,799,52845,0,48040
4,success,.17,.00,.01,.00,.18,53133,819,6318,0,26193
5,success,.18,.00,.00,.00,.18,52862,109,14,0,1810
6,success,.17,.00,.00,.00,.18,66524,60,1,0,543
7,success,.18,.00,.14,.07,.39,66962,1547,709258,0,131764
8,exceedLimit,2.03,.00,.47,.00,4.82,79548,8392,100000000,0,2312940
9,success,.18,.00,.33,7.07,7.58,79849,1357,88129737,0,130566
10,success,2.01,.00,.36,.04,2.42,79469,1381,1029072,0,43530
11,success,.19,.00,.00,.00,.19,79070,486,13871,0,6990
12,success,.20,.00,.52,1.08,1.80,79907,1239,45800291,0,113208
13,success,.58,.00,.00,.00,.58,92857,0,0,0,0
0,success,.29,.00,.04,.01,.33,39736,900,18281,0,88085
1,success,.19,.00,.21,.00,.41,53443,684,50083,0,23679
2,success,.18,.00,.00,.00,.18,53320,582,41632,0,2428
3,success,.17,.00,.01,.01,.18,53138,799,52845,0,48040
4,success,.18,.00,.01,.00,.19,53133,819,6318,0,26193
5,success,.17,.00,.00,.00,.17,52862,109,14,0,1810
6,success,.18,.00,.00,.00,.18,66524,60,1,0,543
7,success,.18,.00,.14,.07,.39,66962,1547,709258,0,131764
8,exceedLimit,2.05,.00,.45,.00,4.93,79548,8392,100000000,0,2312940
9,success,.19,.00,.35,7.15,7.68,79849,1357,88129737,0,130566
10,success,1.95,.00,.36,.04,2.35,79469,1381,1029072,0,43530
11,success,.18,.00,.00,.00,.19,79070,486,13871,0,6990
12,success,.20,.00,.53,1.09,1.82,79907,1239,45800291,0,113208
13,success,.58,.00,.00,.00,.58,92857,0,0,0,0
0,success,.28,.00,.04,.01,.32,39736,900,18281,0,88085
1,success,.20,.00,.06,.00,.26,53443,684,50083,0,23679
2,success,.18,.00,.01,.00,.19,53320,582,41632,0,2428
3,success,.17,.00,.01,.01,.18,53138,799,52845,0,48040
4,success,.18,.00,.01,.00,.19,53133,819,6318,0,26193
5,success,.17,.00,.00,.00,.17,52862,109,14,0,1810
6,success,.17,.00,.00,.00,.17,66524,60,1,0,543
7,success,.18,.00,.13,.07,.38,66962,1547,709258,0,131764
8,exceedLimit,2.08,.00,.46,.00,4.58,79548,8392,100000000,0,2312940
9,success,.18,.00,.35,7.17,7.70,79849,1357,88129737,0,130566
10,success,2.01,.00,.35,.04,2.40,79469,1381,1029072,0,43530
11,success,.18,.00,.00,.00,.18,79070,486,13871,0,6990
12,success,.20,.00,.53,1.07,1.80,79907,1239,45800291,0,113208
13,success,.61,.00,.00,.00,.61,92857,0,0,0,0
0,success,.30,.00,.03,.01,.33,39736,900,18281,0,88085
1,success,.20,.00,.05,.00,.26,53443,684,50083,0,23679
2,success,.19,.00,.01,.00,.20,53320,582,41632,0,2428
3,success,.36,.00,.01,.00,.37,53138,799,52845,0,48040
