*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb3_cyc_c_2Eviews_q9.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,1.55,.45,2.00,403394,165296,349247
1,success,1.46,.28,1.74,403394,184010,388216
2,success,1.46,.24,1.70,403394,163085,336526
3,success,1.53,.34,1.86,402765,162154,344882
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.68,.05,.74,537446,118044,20963,290418
0,success,.00,.74,.05,.79,537446,118044,20963,290418
0,success,.00,.92,.05,.97,537446,118044,20963,290418
0,success,.00,.67,.05,.72,537446,118044,20963,290418
0,success,.00,.75,.04,.79,537446,118044,20963,290418
0,success,.00,.81,.05,.85,537446,118044,20963,290418
0,success,.00,.84,.04,.88,537446,118044,20963,290418
0,success,.00,.63,.04,.68,537446,118044,20963,290418
0,success,.00,.66,.04,.71,537446,118044,20963,290418
0,success,.00,.71,.05,.76,537446,118044,20963,290418
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.74,.05,.79,537446,118044,20963,290418

Data loading Time,1.86
Index building Time,.54
Average Eval Time per run,4.40
Average Eval Time per query,4.40
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,4.14
Average Matching Time per query,4.14
Average Enumeration Time per run,.26
Average Enumeration Time per query,.26
Average Nodes before per query,537446.00
Average Nodes after per query,118044.00
Average number of solution tuples per query,20963.00
Max Used Memory,3167.00 MB
*****************************************************
