*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\bs_lb5.dag
V:685230,E:4029494,lbs:5
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb5_cyc_c_1Eviews_q12.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.97,.12,1.09,274158,115277,282996
1,success,.85,.13,.98,274483,114451,280806
2,success,1.48,.11,1.59,274483,114451,280806
3,success,1.23,.14,1.37,274158,115277,282996
4,success,.98,.17,1.15,274483,114451,280806
5,success,1.07,.12,1.19,274483,114451,280806
6,success,.92,.12,1.04,274158,115277,282996
7,success,.90,.13,1.03,274483,114451,280806
8,success,1.01,.14,1.15,274808,104573,263983
9,success,1.28,.15,1.42,274483,114451,280806
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,1.65,.74,2.39,686045,63068,2030874,477351
0,success,.00,1.29,.58,1.87,686045,63068,2030874,477351
0,success,.00,1.38,.68,2.05,686045,63068,2030874,477351
0,success,.00,1.50,.47,1.97,686045,63068,2030874,477351
0,success,.00,1.24,.46,1.70,686045,63068,2030874,477351
0,success,.00,1.27,.52,1.79,686045,63068,2030874,477351
0,success,.00,1.22,.57,1.79,686045,63068,2030874,477351
0,success,.00,1.25,.55,1.80,686045,63068,2030874,477351
0,success,.00,1.31,.56,1.86,686045,63068,2030874,477351
0,success,.00,1.43,.58,2.01,686045,63068,2030874,477351
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,1.35,.57,1.92,686045,63068,2030874,477351

Data loading Time,5.80
Index building Time,.54
Average Eval Time per run,10.84
Average Eval Time per query,10.84
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,7.61
Average Matching Time per query,7.61
Average Enumeration Time per run,3.23
Average Enumeration Time per query,3.23
Average Nodes before per query,686045.00
Average Nodes after per query,63068.00
Average number of solution tuples per query,2030874.00
Max Used Memory,3099.00 MB
*****************************************************
