*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_d_q7.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,exceedLimit,.45,.00,6.03,.00,8.03,53054,10313,10000000,0,3154917
0,exceedLimit,.23,.00,5.34,.00,6.70,53054,10313,10000000,0,3154917
0,exceedLimit,.15,.00,4.91,.00,5.93,53054,10313,10000000,0,3154917
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,exceedLimit,.28,.00,5.43,.00,6.89,53054,10313,10000000,0,3154917

Data loading Time,1.34
Index building Time,.42
Average Eval Time per run,14.47
Average Eval Time per query,14.47
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,11.23
Average Matching Time per query,11.23
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,53054.00
Average Nodes after per query,10313.00
Average number of solution tuples per query,10000000.00
Max Used Memory,1042.00 MB
*****************************************************
