*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_d_q7.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,exceedLimit,7.95,.00,6.37,.00,15.53,53054,10313,10000000,0,3154917
0,exceedLimit,7.55,.00,5.36,.00,13.85,53054,10313,10000000,0,3154917
0,exceedLimit,7.33,.00,5.22,.00,13.36,53054,10313,10000000,0,3154917
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,exceedLimit,7.61,.00,5.65,.00,14.25,53054,10313,10000000,0,3154917

Data loading Time,1.15
Index building Time,.42
Average Eval Time per run,29.22
Average Eval Time per query,29.22
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,11.69
Average Matching Time per query,11.69
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,53054.00
Average Nodes after per query,10313.00
Average number of solution tuples per query,10000000.00
Max Used Memory,252.00 MB
*****************************************************
