*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_q7.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.47,.00,2.27,.08,2.82,53443,10342,50083,0,1517827
0,success,.14,.00,1.67,.11,1.93,53443,10342,50083,0,1517827
0,success,.14,.00,1.49,.13,1.76,53443,10342,50083,0,1517827
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.25,.00,1.81,.11,2.17,53443,10342,50083,0,1517827

Data loading Time,1.45
Index building Time,.46
Average Eval Time per run,4.69
Average Eval Time per query,4.69
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,3.88
Average Matching Time per query,3.88
Average Enumeration Time per run,.20
Average Enumeration Time per query,.20
Average Nodes before per query,53443.00
Average Nodes after per query,10342.00
Average number of solution tuples per query,50083.00
Max Used Memory,547.00 MB
*****************************************************
