*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\temp0_temp1_v1.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,exceedLimit,.73,.00,.16,.00,3.43,93179,1345,10000000,0,80939
0,exceedLimit,.46,.00,.11,.00,2.70,93179,1345,10000000,0,80939
0,exceedLimit,.56,.00,.09,.00,2.80,93179,1345,10000000,0,80939
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,exceedLimit,.59,.00,.12,.00,2.98,93179,1345,10000000,0,80939

Data loading Time,1.14
Index building Time,.41
Average Eval Time per run,6.16
Average Eval Time per query,6.16
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.26
Average Matching Time per query,.26
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,93179.00
Average Nodes after per query,1345.00
Average number of solution tuples per query,10000000.00
Max Used Memory,1118.00 MB
*****************************************************
