*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb3_cyc_c_q13.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.91,.00,4.35,.49,5.75,942078,655609,70,0,2797814
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.91,.00,4.35,.49,5.75,942078,655609,70,0,2797814

Data loading Time,2.63
Index building Time,.69
Average Eval Time per run,5.75
Average Eval Time per query,5.75
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,4.35
Average Matching Time per query,4.35
Average Enumeration Time per run,.49
Average Enumeration Time per query,.49
Average Nodes before per query,942078.00
Average Nodes after per query,655609.00
Average number of solution tuples per query,70.00
Max Used Memory,628.00 MB
*****************************************************
