*****************************************************
Dataset:/home/xiaoying/work/experiments/GraHomMat/input/am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:/home/xiaoying/work/experiments/GraHomMat/input/inst_lb3_cyc_c.qry
Algorithm:GraEval_IE_Hyb
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.99,.00,.35,.06,1.39,402785,99773,46127,0,270890
1,success,.82,.00,.41,.14,1.37,536208,205731,197170,0,550031
2,success,1.18,.00,.10,.03,1.31,538055,58659,23405,0,147110
3,success,1.24,.00,.09,.04,1.37,537446,42345,20963,0,122638
4,success,1.19,.00,.06,.01,1.26,538075,38817,17124,0,111671
5,success,1.36,.00,.06,.02,1.44,536837,36840,12233,0,130206
6,success,1.36,.00,.01,.00,1.38,671518,7529,2627,0,29531
7,success,1.22,.00,.04,.01,1.28,672756,32111,16145,0,87239
8,success,1.87,.00,.11,.03,2.01,807397,49860,74288,0,156049
9,success,1.38,.00,.04,.01,1.43,805550,16936,7759,0,51408
10,success,1.23,.00,.03,.01,1.27,806768,23313,15759,0,61341
11,success,1.23,.00,.03,.01,1.27,805570,27220,5356,0,67307
12,success,1.61,.00,.10,.03,1.74,806788,55836,36780,0,151018
13,success,1.51,.00,.00,.00,1.51,942078,278,70,0,1283
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.99,.00,.35,.06,1.39,402785,99773,46127,0,270890
1,success,.82,.00,.41,.14,1.37,536208,205731,197170,0,550031
2,success,1.18,.00,.10,.03,1.31,538055,58659,23405,0,147110
3,success,1.24,.00,.09,.04,1.37,537446,42345,20963,0,122638
4,success,1.19,.00,.06,.01,1.26,538075,38817,17124,0,111671
5,success,1.36,.00,.06,.02,1.44,536837,36840,12233,0,130206
6,success,1.36,.00,.01,.00,1.38,671518,7529,2627,0,29531
7,success,1.22,.00,.04,.01,1.28,672756,32111,16145,0,87239
8,success,1.87,.00,.11,.03,2.01,807397,49860,74288,0,156049
9,success,1.38,.00,.04,.01,1.43,805550,16936,7759,0,51408
10,success,1.23,.00,.03,.01,1.27,806768,23313,15759,0,61341
11,success,1.23,.00,.03,.01,1.27,805570,27220,5356,0,67307
12,success,1.61,.00,.10,.03,1.74,806788,55836,36780,0,151018
13,success,1.51,.00,.00,.00,1.51,942078,278,70,0,1283

Data loading Time,2.42
Index building Time,.74
Average Eval Time per run,20.03
Average Eval Time per query,1.43
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,1.42
Average Matching Time per query,.10
Average Enumeration Time per run,.41
Average Enumeration Time per query,.03
Average Nodes before per query,671987.93
Average Nodes after per query,49660.57
Average number of solution tuples per query,33986.14
Max Used Memory,519.00 MB
*****************************************************
