*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q16.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,9.37,34.88,44.25,26599,10182,11881919
1,success,.13,.00,.13,26599,1435,2788
2,success,.14,.00,.14,26468,909,1743
3,success,.80,45.49,46.29,26468,10230,12304462
4,success,36.49,92.78,129.27,26311,10011,11686567
5,success,.16,.00,.17,26271,943,1805
6,success,57.63,86.80,144.43,26402,10178,12281070
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.02,.18,.20,79469,1457,1029072,54559
0,success,.00,.01,.26,.27,79469,1457,1029072,54559
0,success,.00,.02,.17,.19,79469,1457,1029072,54559
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.02,.20,.22,79469,1457,1029072,54559

Data loading Time,.64
Index building Time,.14
Average Eval Time per run,.44
Average Eval Time per query,.44
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.04
Average Matching Time per query,.04
Average Enumeration Time per run,.41
Average Enumeration Time per query,.41
Average Nodes before per query,79469.00
Average Nodes after per query,1457.00
Average number of solution tuples per query,1029072.00
Max Used Memory,2670.00 MB
*****************************************************
