*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q18.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.15,.00,3.68,30.69,34.52,79907,13127,45800291,0,2794931
0,success,.15,.00,3.54,32.02,35.71,79907,13127,45800291,0,2794931
0,success,.15,.00,3.57,29.85,33.58,79907,13127,45800291,0,2794931
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.15,.00,3.60,30.85,34.60,79907,13127,45800291,0,2794931

Data loading Time,.51
Index building Time,.23
Average Eval Time per run,69.52
Average Eval Time per query,69.52
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,7.24
Average Matching Time per query,7.24
Average Enumeration Time per run,61.99
Average Enumeration Time per query,61.99
Average Nodes before per query,79907.00
Average Nodes after per query,13127.00
Average number of solution tuples per query,45800291.00
Max Used Memory,3138.00 MB
*****************************************************
