*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q8.qry
Algorithm:DagEval_ansgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.23,.00,.23,26742,836,1595
1,success,47.79,56.66,104.45,26730,10458,12890304
2,success,2.33,27.62,29.95,26590,10181,12041049
3,success,.13,.00,.13,26578,981,1885
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.00,.01,.01,53320,653,41632,2548
0,success,.00,.00,.00,.01,53320,653,41632,2548
0,success,.00,.00,.00,.01,53320,653,41632,2548
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.00,.00,.01,53320,653,41632,2548

Data loading Time,.86
Index building Time,.21
Average Eval Time per run,.01
Average Eval Time per query,.01
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.00
Average Matching Time per query,.00
Average Enumeration Time per run,.01
Average Enumeration Time per query,.01
Average Nodes before per query,53320.00
Average Nodes after per query,653.00
Average number of solution tuples per query,41632.00
Max Used Memory,3138.00 MB
*****************************************************
