*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2to3Eviews_q14.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.74,2.72,3.46,39656,10048,1504722
1,success,4.04,83.06,87.10,39628,12540,24176499
2,success,1.11,.03,1.14,39714,806,79821
3,success,.22,2.91,3.13,39771,10014,1565325
4,success,6.69,58.27,64.96,39834,17339,23649283
5,success,.73,120.75,121.48,39646,18374,24816892
6,success,27.35,.31,27.66,39829,8853,1205883
7,success,.66,129.98,130.64,39696,18061,24118001
8,success,.32,.00,.32,39920,1587,3216
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,exceedLimit,.00,.49,.00,13.08,79548,8411,100000000,2338946
0,exceedLimit,.00,.59,.00,12.65,79548,8411,100000000,2338946
0,exceedLimit,.00,.37,.00,13.10,79548,8411,100000000,2338946
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,exceedLimit,.00,.48,.00,12.94,79548,8411,100000000,2338946

Data loading Time,1.28
Index building Time,.39
Average Eval Time per run,25.88
Average Eval Time per query,25.88
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,1.01
Average Matching Time per query,1.01
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,79548.00
Average Nodes after per query,8411.00
Average number of solution tuples per query,100000000.00
Max Used Memory,1455.00 MB
*****************************************************
