*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\yeast.graph
V:3112 E:12519 lbs:71
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\inst_lb15_cyc_c.qry
Algorithm:GraEval_IE_Edge
id status preTime planTime matchTime enumTime totTime numNodesBefore numNodesAfter numSoln numPlans sizeOfAG
0 success .00 .00 .00 .01 .02 145 0 0 0 0
1 success .00 .00 .00 .00 .01 860 0 0 0 0
2 success .00 .00 .00 .00 .00 241 0 0 0 0
3 success .00 .00 .00 .00 .00 117 0 0 0 0
4 success .01 .00 .00 .00 .01 450 0 0 0 0
5 success .00 .00 .00 .00 .00 857 0 0 0 0
6 success .00 .00 .00 .00 .00 362 0 0 0 0
7 success .00 .00 .00 .00 .00 314 0 0 0 0
8 success .00 .00 .00 .00 .00 396 0 0 0 0
9 success .00 .00 .00 .00 .00 700 0 0 0 0
10 success .00 .00 .00 .00 .00 390 0 0 0 0
11 success .00 .00 .00 .00 .00 967 30 0 0 30
12 success .00 .00 .00 .00 .00 607 0 0 0 0
13 success .01 .00 .00 .00 .01 1,009 0 0 0 0
Average running time: 
id status preTime planTime matchTime enumTime totTime totNodesBefore totNodesAfter numOfTuples numPlans sizeOfAG
0 success .00 .00 .00 .01 .02 145 0 0 0 0
1 success .00 .00 .00 .00 .01 860 0 0 0 0
2 success .00 .00 .00 .00 .00 241 0 0 0 0
3 success .00 .00 .00 .00 .00 117 0 0 0 0
4 success .01 .00 .00 .00 .01 450 0 0 0 0
5 success .00 .00 .00 .00 .00 857 0 0 0 0
6 success .00 .00 .00 .00 .00 362 0 0 0 0
7 success .00 .00 .00 .00 .00 314 0 0 0 0
8 success .00 .00 .00 .00 .00 396 0 0 0 0
9 success .00 .00 .00 .00 .00 700 0 0 0 0
10 success .00 .00 .00 .00 .00 390 0 0 0 0
11 success .00 .00 .00 .00 .00 967 30 0 0 30
12 success .00 .00 .00 .00 .00 607 0 0 0 0
13 success .01 .00 .00 .00 .01 1,009 0 0 0 0
Data loading Time:.16
Index building Time:.00
Average Eval Time per run:.06
Average Eval Time per query:.00
Average pruning Time per run:.00
Average pruning Time per query:.00
Average Plan Time per run:.00
Average Plan Time per query:.00
Average Matching Time per run:.00
Average Matching Time per query:.00
Average Enumeration Time per run:.02
Average Enumeration Time per query:.00
Average Nodes before per query:529.64
Average Nodes after per query:2.14
Average number of solution tuples per query:.00
Max Used Memory:3.00 MB
*****************************************************
