*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_combQrys__15_numE_8_2Eviews_ovl_1_10.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.14,.00,.01,.00,.15,79342,23,6,0,65
0,success,.12,.00,.00,.00,.12,79342,23,6,0,65
0,success,.08,.00,.00,.00,.08,79342,23,6,0,65
0,success,.07,.00,.00,.00,.08,79342,23,6,0,65
0,success,.08,.00,.00,.00,.08,79342,23,6,0,65
0,success,.07,.00,.00,.00,.07,79342,23,6,0,65
0,success,.06,.00,.00,.00,.07,79342,23,6,0,65
0,success,.05,.00,.00,.00,.05,79342,23,6,0,65
0,success,.04,.00,.00,.00,.04,79342,23,6,0,65
0,success,.07,.00,.00,.00,.07,79342,23,6,0,65
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.08,.00,.00,.00,.08,79342,23,6,0,65

Data loading Time,1.49
Index building Time,.54
Average Eval Time per run,.52
Average Eval Time per query,.52
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.01
Average Enumeration Time per run,.01
Average Enumeration Time per query,.01
Average Nodes before per query,79342.00
Average Nodes after per query,23.00
Average number of solution tuples per query,6.00
Max Used Memory,256.00 MB
*****************************************************
