*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_d_combQrys__12_1Eviews_ovl_1_1_10DE_8numE.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,exceedLimit,10.86,.00,1.85,.00,26.51,66552,10475,100000000,0,2354279
0,exceedLimit,10.21,.00,1.67,.00,26.52,66552,10475,100000000,0,2354279
0,exceedLimit,10.30,.00,1.79,.00,25.91,66552,10475,100000000,0,2354279
0,exceedLimit,9.77,.00,1.42,.00,24.28,66552,10475,100000000,0,2354279
0,exceedLimit,8.79,.00,1.36,.00,23.07,66552,10475,100000000,0,2354279
0,exceedLimit,7.76,.00,1.36,.00,21.59,66552,10475,100000000,0,2354279
0,exceedLimit,8.01,.00,1.36,.00,21.82,66552,10475,100000000,0,2354279
0,exceedLimit,7.47,.00,1.42,.00,22.67,66552,10475,100000000,0,2354279
0,exceedLimit,8.04,.00,1.37,.00,22.10,66552,10475,100000000,0,2354279
0,exceedLimit,10.20,.00,1.61,.00,25.21,66552,10475,100000000,0,2354279
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,exceedLimit,9.14,.00,1.52,.00,23.97,66552,10475,100000000,0,2354279

Data loading Time,1.07
Index building Time,.16
Average Eval Time per run,135.21
Average Eval Time per query,135.21
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,8.68
Average Matching Time per query,8.68
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,66552.00
Average Nodes after per query,10475.00
Average number of solution tuples per query,100000000.00
Max Used Memory,2737.00 MB
*****************************************************
