*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb3_cyc_c_2Eviews_q10.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,1.77,.52,2.28,403394,164170,346891
1,success,1.80,.42,2.23,403394,164170,346891
2,success,1.72,.50,2.22,403414,159392,332687
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,1.12,.17,1.29,538075,115137,17124,286741
0,success,.00,.78,.07,.85,538075,115137,17124,286741
0,success,.00,.71,.05,.76,538075,115137,17124,286741
0,success,.00,.65,.05,.70,538075,115137,17124,286741
0,success,.00,.62,.05,.66,538075,115137,17124,286741
0,success,.00,.59,.05,.64,538075,115137,17124,286741
0,success,.00,.80,.05,.85,538075,115137,17124,286741
0,success,.00,.63,.04,.67,538075,115137,17124,286741
0,success,.00,.75,.06,.80,538075,115137,17124,286741
0,success,.00,.65,.05,.70,538075,115137,17124,286741
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.73,.06,.79,538075,115137,17124,286741

Data loading Time,2.82
Index building Time,.72
Average Eval Time per run,4.64
Average Eval Time per query,4.64
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,4.24
Average Matching Time per query,4.24
Average Enumeration Time per run,.40
Average Enumeration Time per query,.40
Average Nodes before per query,538075.00
Average Nodes after per query,115137.00
Average number of solution tuples per query,17124.00
Max Used Memory,1149.00 MB
*****************************************************
