*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb3_cyc_c_3Eviews_q6.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,1.75,.24,1.99,402785,99765,270874
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.60,.05,.66,402785,99765,46127,270874
0,success,.00,.59,.10,.69,402785,99765,46127,270874
0,success,.00,.63,.08,.71,402785,99765,46127,270874
0,success,.00,.57,.07,.63,402785,99765,46127,270874
0,success,.00,.52,.08,.60,402785,99765,46127,270874
0,success,.00,.57,.07,.64,402785,99765,46127,270874
0,success,.00,.75,.06,.81,402785,99765,46127,270874
0,success,.00,.45,.05,.50,402785,99765,46127,270874
0,success,.00,.41,.07,.48,402785,99765,46127,270874
0,success,.00,.49,.06,.55,402785,99765,46127,270874
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.56,.07,.63,402785,99765,46127,270874

Data loading Time,1.80
Index building Time,.51
Average Eval Time per run,3.59
Average Eval Time per query,3.59
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,3.20
Average Matching Time per query,3.20
Average Enumeration Time per run,.39
Average Enumeration Time per query,.39
Average Nodes before per query,402785.00
Average Nodes after per query,99765.00
Average number of solution tuples per query,46127.00
Max Used Memory,3184.00 MB
*****************************************************
