*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q13.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.20,.00,.29,.40,.89,66962,1570,709258,0,132392
0,success,.22,.00,.24,.18,.63,66962,1570,709258,0,132392
0,success,.17,.00,.20,.32,.69,66962,1570,709258,0,132392
0,success,.16,.00,.20,.17,.54,66962,1570,709258,0,132392
0,success,.17,.00,.20,.23,.61,66962,1570,709258,0,132392
0,success,.17,.00,.20,.16,.53,66962,1570,709258,0,132392
0,success,.16,.00,.20,.17,.53,66962,1570,709258,0,132392
0,success,.17,.00,.26,.17,.60,66962,1570,709258,0,132392
0,success,.16,.00,.20,.25,.61,66962,1570,709258,0,132392
0,success,.23,.00,.29,.18,.70,66962,1570,709258,0,132392
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.18,.00,.23,.22,.63,66962,1570,709258,0,132392

Data loading Time,.80
Index building Time,.26
Average Eval Time per run,3.61
Average Eval Time per query,3.61
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,1.26
Average Matching Time per query,1.26
Average Enumeration Time per run,1.34
Average Enumeration Time per query,1.34
Average Nodes before per query,66962.00
Average Nodes after per query,1570.00
Average number of solution tuples per query,709258.00
Max Used Memory,1398.00 MB
*****************************************************
