*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q13.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.4070,.0170,.4240,40021,1056,2125
1,success,.3660,2.4710,2.8370,40152,3767,1412181
2,success,.4390,1.7780,2.2170,40152,9975,1387163
3,success,.1710,.1560,.3270,40265,7669,416451
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.1660,.2590,.2300,.6550,66962,1571,709258,134869
0,success,.1640,.2960,.3600,.8200,66962,1571,709258,134869
0,success,.1480,.2190,.1680,.5350,66962,1571,709258,134869
0,success,.1450,.2160,.3340,.6950,66962,1571,709258,134869
0,success,.1510,.2130,.1620,.5260,66962,1571,709258,134869
0,success,.2610,.2140,.1600,.6350,66962,1571,709258,134869
0,success,.1450,.2110,.1590,.5150,66962,1571,709258,134869
0,success,.1660,.2290,.2460,.6410,66962,1571,709258,134869
0,success,.1670,.3320,.1840,.6830,66962,1571,709258,134869
0,success,.1520,.2290,.2710,.6520,66962,1571,709258,134869
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.1665,.2418,.2274,.6357,66962,1571,709258,134869

Data loading Time,1.3720
Index building Time,.4940
Average Eval Time per run,3.5407
Average Eval Time per query,3.5407
Average pruning Time per run,.0000
Average pruning Time per query,.0000
Average Matching Time per run,1.3290
Average Matching Time per query,1.3290
Average Enumeration Time per run,1.3007
Average Enumeration Time per query,1.3007
Average Nodes before per query,66962.0000
Average Nodes after per query,1571.0000
Average number of solution tuples per query,709258.0000
Max Used Memory,1590.0000 MB
*****************************************************
