*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q7.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.5480,2.1740,2.7220,40065,3740,735412
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.1840,1.4000,.0390,1.6230,53443,3022,50083,81775
0,success,.1880,1.5600,.0630,1.8110,53443,3022,50083,81775
0,success,.1630,1.5120,.0510,1.7260,53443,3022,50083,81775
0,success,.1460,1.4050,.0360,1.5870,53443,3022,50083,81775
0,success,.1660,1.6450,.0160,1.8270,53443,3022,50083,81775
0,success,.2220,1.5200,.0180,1.7600,53443,3022,50083,81775
0,success,.1530,1.7230,.0150,1.8910,53443,3022,50083,81775
0,success,.1650,1.4810,.0160,1.6620,53443,3022,50083,81775
0,success,.1490,1.3920,.0150,1.5560,53443,3022,50083,81775
0,success,.2030,1.3820,.0910,1.6760,53443,3022,50083,81775
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.1739,1.5020,.0360,1.7119,53443,3022,50083,81775

Data loading Time,1.6070
Index building Time,.4200
Average Eval Time per run,9.4546
Average Eval Time per query,9.4546
Average pruning Time per run,.0000
Average pruning Time per query,.0000
Average Matching Time per run,8.2942
Average Matching Time per query,8.2942
Average Enumeration Time per run,.2032
Average Enumeration Time per query,.2032
Average Nodes before per query,53443.0000
Average Nodes after per query,3022.0000
Average number of solution tuples per query,50083.0000
Max Used Memory,1470.0000 MB
*****************************************************
