*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q10.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.5470,.0000,.1010,.0200,.6680,53133,835,6318,0,26837
0,success,.2410,.0000,.0240,.0090,.2740,53133,835,6318,0,26837
0,success,.2560,.0000,.0250,.0050,.2860,53133,835,6318,0,26837
0,success,.1830,.0000,.0150,.0020,.2000,53133,835,6318,0,26837
0,success,.1880,.0000,.0220,.0030,.2130,53133,835,6318,0,26837
0,success,.1990,.0000,.0160,.0040,.2190,53133,835,6318,0,26837
0,success,.2830,.0000,.0130,.0030,.2990,53133,835,6318,0,26837
0,success,.2190,.0000,.0160,.0030,.2380,53133,835,6318,0,26837
0,success,.1810,.0000,.0120,.0030,.1960,53133,835,6318,0,26837
0,success,.3080,.0000,.0160,.0040,.3280,53133,835,6318,0,26837
0,success,.1940,.0000,.0150,.0040,.2130,53133,835,6318,0,26837
0,success,.2030,.0000,.0170,.0030,.2230,53133,835,6318,0,26837
0,success,.1970,.0000,.0160,.0040,.2170,53133,835,6318,0,26837
0,success,.1980,.0000,.0160,.0040,.2180,53133,835,6318,0,26837
0,success,.2170,.0000,.0190,.0060,.2420,53133,835,6318,0,26837
0,success,.1910,.0000,.0120,.0020,.2050,53133,835,6318,0,26837
0,success,.1770,.0000,.0160,.0020,.1950,53133,835,6318,0,26837
0,success,.1830,.0000,.0120,.0020,.1970,53133,835,6318,0,26837
0,success,.1900,.0000,.0150,.0040,.2090,53133,835,6318,0,26837
0,success,.2200,.0000,.0210,.0040,.2450,53133,835,6318,0,26837
0,success,.2100,.0000,.0120,.0020,.2240,53133,835,6318,0,26837
0,success,.2950,.0000,.0170,.0030,.3150,53133,835,6318,0,26837
0,success,.1920,.0000,.0110,.0040,.2070,53133,835,6318,0,26837
0,success,.1770,.0000,.0120,.0020,.1910,53133,835,6318,0,26837
0,success,.1710,.0000,.0120,.0030,.1860,53133,835,6318,0,26837
0,success,.3260,.0000,.0200,.0050,.3510,53133,835,6318,0,26837
0,success,.2760,.0000,.0120,.0020,.2900,53133,835,6318,0,26837
0,success,.1900,.0000,.0120,.0020,.2040,53133,835,6318,0,26837
0,success,.1700,.0000,.0120,.0020,.1840,53133,835,6318,0,26837
0,success,.2100,.0000,.0160,.0020,.2280,53133,835,6318,0,26837
0,success,.1680,.0000,.0120,.0020,.1820,53133,835,6318,0,26837
0,success,.1700,.0000,.0110,.0020,.1830,53133,835,6318,0,26837
0,success,.1770,.0000,.0110,.0020,.1900,53133,835,6318,0,26837
0,success,.1650,.0000,.0120,.0030,.1800,53133,835,6318,0,26837
0,success,.1810,.0000,.0140,.0020,.1970,53133,835,6318,0,26837
0,success,.2240,.0000,.0120,.0020,.2380,53133,835,6318,0,26837
0,success,.1720,.0000,.0130,.0030,.1880,53133,835,6318,0,26837
0,success,.1990,.0000,.0120,.0020,.2130,53133,835,6318,0,26837
0,success,.1700,.0000,.0110,.0020,.1830,53133,835,6318,0,26837
0,success,.2860,.0000,.0120,.0020,.3000,53133,835,6318,0,26837
0,success,.1710,.0000,.0120,.0020,.1850,53133,835,6318,0,26837
0,success,.1690,.0000,.0140,.0030,.1860,53133,835,6318,0,26837
0,success,.1750,.0000,.0120,.0030,.1900,53133,835,6318,0,26837
0,success,.1730,.0000,.0110,.0020,.1860,53133,835,6318,0,26837
0,success,.1670,.0000,.0120,.0020,.1810,53133,835,6318,0,26837
0,success,.2620,.0000,.0220,.0020,.2860,53133,835,6318,0,26837
0,success,.2320,.0000,.0210,.0030,.2560,53133,835,6318,0,26837
0,success,.2060,.0000,.0160,.0040,.2260,53133,835,6318,0,26837
0,success,.1770,.0000,.0120,.0020,.1910,53133,835,6318,0,26837
0,success,.1720,.0000,.0120,.0020,.1860,53133,835,6318,0,26837
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.2122,.0000,.0164,.0033,.2318,53133,835,6318,0,26837

Data loading Time,1.5880
Index building Time,.4420
Average Eval Time per run,6.2952
Average Eval Time per query,6.2952
Average pruning Time per run,.0000
Average pruning Time per query,.0000
Average Plan Time per run,.0000
Average Plan Time per query,.0000
Average Matching Time per run,.4802
Average Matching Time per query,.4802
Average Enumeration Time per run,.1013
Average Enumeration Time per query,.1013
Average Nodes before per query,53133.0000
Average Nodes after per query,835.0000
Average number of solution tuples per query,6318.0000
Max Used Memory,1789.0000 MB
*****************************************************
