*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q10.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.6310,12.8890,13.5200,39854,8315,879132
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.7610,.0360,.0150,.8120,53133,814,6318,25500
0,success,.7790,.0390,.0090,.8270,53133,814,6318,25500
0,success,.8090,.0240,.0030,.8360,53133,814,6318,25500
0,success,.7250,.0200,.0040,.7490,53133,814,6318,25500
0,success,.6910,.0230,.0040,.7180,53133,814,6318,25500
0,success,.7580,.0120,.0030,.7730,53133,814,6318,25500
0,success,.6710,.0110,.0020,.6840,53133,814,6318,25500
0,success,.6710,.0150,.0040,.6900,53133,814,6318,25500
0,success,.8370,.0220,.0060,.8650,53133,814,6318,25500
0,success,.7660,.0110,.0030,.7800,53133,814,6318,25500
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.7468,.0213,.0053,.7734,53133,814,6318,25500

Data loading Time,1.6540
Index building Time,.5220
Average Eval Time per run,4.2983
Average Eval Time per query,4.2983
Average pruning Time per run,.0000
Average pruning Time per query,.0000
Average Matching Time per run,.1385
Average Matching Time per query,.1385
Average Enumeration Time per run,.0357
Average Enumeration Time per query,.0357
Average Nodes before per query,53133.0000
Average Nodes after per query,814.0000
Average number of solution tuples per query,6318.0000
Max Used Memory,1552.0000 MB
*****************************************************
