*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q10.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.8200,10.4650,11.2850,39854,8315,879132
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.7490,.0670,.0180,.8340,53133,814,6318,25500
0,success,1.0130,.0320,.0080,1.0530,53133,814,6318,25500
0,success,.7410,.0430,.0080,.7920,53133,814,6318,25500
0,success,.5920,.0190,.0040,.6150,53133,814,6318,25500
0,success,.5880,.0860,.0190,.6930,53133,814,6318,25500
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.7366,.0494,.0114,.7974,53133,814,6318,25500

Data loading Time,1.6390
Index building Time,.4880
Average Eval Time per run,2.5362
Average Eval Time per query,2.5362
Average pruning Time per run,.0000
Average pruning Time per query,.0000
Average Matching Time per run,.1432
Average Matching Time per query,.1432
Average Enumeration Time per run,.0346
Average Enumeration Time per query,.0346
Average Nodes before per query,53133.0000
Average Nodes after per query,814.0000
Average number of solution tuples per query,6318.0000
Max Used Memory,1099.0000 MB
*****************************************************
