*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214 E:345203 lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q13.qry
Algorithm:DagEval_simgr
*****************************************************
View Build Times: 
id status preTime matchTime totTime numNodesBefore numNodesAfter sizeOfAG
0 success .4180 .0080 .4260 40,021 1,056 2,125
1 success .2870 2.3420 2.6290 40,152 3,767 1,412,181
2 success .4460 1.7660 2.2120 40,152 9,975 1,387,163
3 success .1760 .1640 .3400 40,265 7,669 416,451
*****************************************************
id status preTime matchTime enumTime totTime numNodesBefore numNodesAfter numSoln sizeOfAG
0 success .1950 .2850 .3140 .7940 66,962 1,547 709,258 131,764
0 success .1720 .1990 .2890 .6600 66,962 1,547 709,258 131,764
0 success .1550 .2800 .1670 .6020 66,962 1,547 709,258 131,764
0 success .1410 .1990 .1640 .5040 66,962 1,547 709,258 131,764
0 success .1400 .2670 .1780 .5850 66,962 1,547 709,258 131,764
0 success .1430 .1930 .1630 .4990 66,962 1,547 709,258 131,764
0 success .1330 .1940 .2240 .5510 66,962 1,547 709,258 131,764
0 success .1320 .1940 .1610 .4870 66,962 1,547 709,258 131,764
0 success .1340 .2260 .1720 .5320 66,962 1,547 709,258 131,764
0 success .1490 .2080 .1660 .5230 66,962 1,547 709,258 131,764
0 success .1380 .1960 .1710 .5050 66,962 1,547 709,258 131,764
0 success .1350 .1910 .1650 .4910 66,962 1,547 709,258 131,764
0 success .1310 .1900 .1620 .4830 66,962 1,547 709,258 131,764
0 success .1360 .2400 .1640 .5400 66,962 1,547 709,258 131,764
0 success .1290 .1900 .1600 .4790 66,962 1,547 709,258 131,764
0 success .1310 .1900 .1620 .4830 66,962 1,547 709,258 131,764
0 success .1310 .1890 .1660 .4860 66,962 1,547 709,258 131,764
0 success .1300 .1880 .1670 .4850 66,962 1,547 709,258 131,764
0 success .1360 .1920 .1610 .4890 66,962 1,547 709,258 131,764
0 success .1320 .1870 .1640 .4830 66,962 1,547 709,258 131,764
0 success .1370 .2240 .1610 .5220 66,962 1,547 709,258 131,764
0 success .1310 .1910 .1630 .4850 66,962 1,547 709,258 131,764
0 success .1370 .2400 .1720 .5490 66,962 1,547 709,258 131,764
0 success .1310 .1890 .1620 .4820 66,962 1,547 709,258 131,764
0 success .1330 .1900 .1610 .4840 66,962 1,547 709,258 131,764
0 success .1320 .1870 .1620 .4810 66,962 1,547 709,258 131,764
0 success .1290 .1860 .1600 .4750 66,962 1,547 709,258 131,764
0 success .1380 .2330 .1610 .5320 66,962 1,547 709,258 131,764
0 success .1320 .1900 .1620 .4840 66,962 1,547 709,258 131,764
0 success .1290 .1900 .1610 .4800 66,962 1,547 709,258 131,764
0 success .1310 .1890 .1620 .4820 66,962 1,547 709,258 131,764
0 success .1310 .1870 .1680 .4860 66,962 1,547 709,258 131,764
0 success .1390 .1910 .1730 .5030 66,962 1,547 709,258 131,764
0 success .1300 .1870 .1630 .4800 66,962 1,547 709,258 131,764
0 success .1310 .1880 .1600 .4790 66,962 1,547 709,258 131,764
0 success .1310 .1890 .1620 .4820 66,962 1,547 709,258 131,764
0 success .1300 .2310 .1660 .5270 66,962 1,547 709,258 131,764
0 success .1330 .1890 .1630 .4850 66,962 1,547 709,258 131,764
0 success .1310 .1880 .1630 .4820 66,962 1,547 709,258 131,764
0 success .1300 .1890 .1620 .4810 66,962 1,547 709,258 131,764
0 success .1290 .1940 .1610 .4840 66,962 1,547 709,258 131,764
0 success .1340 .2450 .1600 .5390 66,962 1,547 709,258 131,764
0 success .1300 .1890 .1590 .4780 66,962 1,547 709,258 131,764
0 success .1300 .1870 .1670 .4840 66,962 1,547 709,258 131,764
0 success .1310 .1880 .1590 .4780 66,962 1,547 709,258 131,764
0 success .1290 .1890 .1670 .4850 66,962 1,547 709,258 131,764
0 success .1370 .1950 .1600 .4920 66,962 1,547 709,258 131,764
0 success .1310 .1880 .1620 .4810 66,962 1,547 709,258 131,764
0 success .1420 .1900 .1620 .4940 66,962 1,547 709,258 131,764
0 success .1280 .2430 .1730 .5440 66,962 1,547 709,258 131,764
Average running time: 
id status preTime matchTime enumTime totTime totNodesBefore totNodesAfter numOfTuples sizeOfAG
0 success .1358 .2031 .1707 .5096 66,962 1,547 709,258 131,764
Data loading Time:1.3380
Index building Time:.4980
Average Eval Time per run:13.3581
Average Eval Time per query:13.3581
Average pruning Time per run:.0000
Average pruning Time per query:.0000
Average Matching Time per run:5.2925
Average Matching Time per query:5.2925
Average Enumeration Time per run:4.5220
Average Enumeration Time per query:4.5220
Average Nodes before per query:66962.0000
Average Nodes after per query:1547.0000
Average number of solution tuples per query:709258.0000
Max Used Memory:1028.0000 MB
*****************************************************
