*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214 E:345203 lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q11.qry
Algorithm:DagEval_simgr
*****************************************************
View Build Times: 
id status filtTime matchTime totTime "nodesSumInvL nodesSG sizeOfSG
0 success .5950 1.1160 1.7110 39,597 8,546 1,147,102
1 success .2730 .2230 .4960 39,597 3,122 51,709
*****************************************************
id status vInterTimes filtTime SGbuildTime joinTime totTime nodesSumInvL nodesAfterPreFilt nodesAfterVinter nodesSG numSoln sizeOfSG
0 success .0030 .0220 .0020 .0030 .0270 52,862 0 13,551 109 14 1,802
0 success .0030 .0240 .0010 .0000 .0250 52,862 0 13,551 109 14 1,802
0 success .0030 .0270 .0010 .0010 .0290 52,862 0 13,551 109 14 1,802
0 success .0030 .0250 .0010 .0010 .0270 52,862 0 13,551 109 14 1,802
0 success .0020 .0180 .0010 .0010 .0200 52,862 0 13,551 109 14 1,802
0 success .0020 .0220 .0010 .0010 .0240 52,862 0 13,551 109 14 1,802
0 success .0030 .0210 .0010 .0000 .0220 52,862 0 13,551 109 14 1,802
0 success .0020 .0200 .0010 .0010 .0220 52,862 0 13,551 109 14 1,802
0 success .0020 .0180 .0000 .0010 .0190 52,862 0 13,551 109 14 1,802
0 success .0020 .0160 .0010 .0010 .0180 52,862 0 13,551 109 14 1,802
0 success .0030 .0160 .0000 .0000 .0160 52,862 0 13,551 109 14 1,802
0 success .0030 .0240 .0010 .0000 .0250 52,862 0 13,551 109 14 1,802
0 success .0020 .0170 .0000 .0010 .0180 52,862 0 13,551 109 14 1,802
0 success .0020 .0160 .0010 .0010 .0180 52,862 0 13,551 109 14 1,802
0 success .0020 .0170 .0000 .0000 .0170 52,862 0 13,551 109 14 1,802
0 success .0010 .0160 .0010 .0010 .0180 52,862 0 13,551 109 14 1,802
0 success .0020 .0150 .0010 .0000 .0160 52,862 0 13,551 109 14 1,802
0 success .0010 .0150 .0010 .0010 .0170 52,862 0 13,551 109 14 1,802
0 success .0010 .0150 .0010 .0010 .0170 52,862 0 13,551 109 14 1,802
0 success .0010 .0200 .0010 .0000 .0210 52,862 0 13,551 109 14 1,802
0 success .0020 .0180 .0000 .0010 .0190 52,862 0 13,551 109 14 1,802
0 success .0030 .0160 .0010 .0000 .0170 52,862 0 13,551 109 14 1,802
0 success .0020 .0180 .0000 .0000 .0180 52,862 0 13,551 109 14 1,802
0 success .0010 .0170 .0010 .0000 .0180 52,862 0 13,551 109 14 1,802
0 success .0020 .0170 .0000 .0000 .0170 52,862 0 13,551 109 14 1,802
0 success .0020 .0150 .0010 .0000 .0160 52,862 0 13,551 109 14 1,802
0 success .0010 .0150 .0010 .0010 .0170 52,862 0 13,551 109 14 1,802
0 success .0010 .0220 .0010 .0000 .0230 52,862 0 13,551 109 14 1,802
0 success .0010 .0160 .0010 .0000 .0170 52,862 0 13,551 109 14 1,802
0 success .0010 .0170 .0010 .0010 .0190 52,862 0 13,551 109 14 1,802
0 success .0030 .0170 .0010 .0010 .0190 52,862 0 13,551 109 14 1,802
0 success .0010 .0200 .0010 .0000 .0210 52,862 0 13,551 109 14 1,802
0 success .0010 .0170 .0010 .0010 .0190 52,862 0 13,551 109 14 1,802
0 success .0010 .0170 .0000 .0010 .0180 52,862 0 13,551 109 14 1,802
0 success .0010 .0160 .0000 .0010 .0170 52,862 0 13,551 109 14 1,802
0 success .0020 .0170 .0000 .0010 .0180 52,862 0 13,551 109 14 1,802
0 success .0020 .0170 .0010 .0000 .0180 52,862 0 13,551 109 14 1,802
0 success .0010 .0130 .0010 .0000 .0140 52,862 0 13,551 109 14 1,802
0 success .0020 .0140 .0010 .0000 .0150 52,862 0 13,551 109 14 1,802
0 success .0020 .0130 .0010 .0000 .0140 52,862 0 13,551 109 14 1,802
0 success .0010 .0130 .0010 .0000 .0140 52,862 0 13,551 109 14 1,802
0 success .0020 .0710 .0010 .0000 .0720 52,862 0 13,551 109 14 1,802
0 success .0010 .0160 .0000 .0010 .0170 52,862 0 13,551 109 14 1,802
0 success .0010 .0150 .0000 .0010 .0160 52,862 0 13,551 109 14 1,802
0 success .0020 .0140 .0000 .0000 .0140 52,862 0 13,551 109 14 1,802
0 success .0010 .0140 .0010 .0000 .0150 52,862 0 13,551 109 14 1,802
0 success .0010 .0120 .0010 .0000 .0130 52,862 0 13,551 109 14 1,802
0 success .0010 .0120 .0000 .0010 .0130 52,862 0 13,551 109 14 1,802
0 success .0020 .0160 .0000 .0000 .0160 52,862 0 13,551 109 14 1,802
0 success .0020 .0170 .0010 .0000 .0180 52,862 0 13,551 109 14 1,802
Average running time: 
id status vInterTimes filtTime SGbuildTime joinTime totTime nodesSumInvL nodesAfterPreFilt nodesAfterVinter nodesSG numSoln sizeOfSG
0 success .0018 .0183 .0007 .0005 .0196 52,862 0 13,551 109 14 1,802
Data loading Time:2.3800
Index building Time:.4710
Average Eval Time per run:.5174
Average Eval Time per query:.5174
Average pruning Time per run:.0000
Average pruning Time per query:.0000
Average Matching Time per run:.0202
Average Matching Time per query:.0202
Average Enumeration Time per run:.0163
Average Enumeration Time per query:.0163
Average Nodes before per query:52862.0000
Average Nodes after per query:109.0000
Average number of solution tuples per query:14.0000
Max Used Memory:487.0000 MB
*****************************************************
