*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214 E:345203 lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q9.qry
Algorithm:DagEval_simgr
*****************************************************
View Build Times: 
id status filtTime matchTime totTime "nodesSumInvL nodesSG sizeOfSG
0 success 1.5160 1.7910 3.3070 39,706 3,128 661,823
1 success 2.2100 5.7850 7.9950 39,706 8,108 1,078,769
*****************************************************
id status vInterTimes filtTime SGbuildTime joinTime totTime nodesSumInvL nodesAfterPreFilt nodesAfterVinter nodesSG numSoln sizeOfSG sizeUncovSG
0 success .0510 .0400 .0030 .0530 .0960 53,138 0 14,286 799 52,845 48,040 497
0 success .0420 .0320 .0010 .0320 .0650 53,138 0 14,286 799 52,845 48,040 497
0 success .0400 .0340 .0010 .0370 .0720 53,138 0 14,286 799 52,845 48,040 497
0 success .0310 .0280 .0000 .0330 .0610 53,138 0 14,286 799 52,845 48,040 497
0 success .0340 .0330 .0000 .0260 .0590 53,138 0 14,286 799 52,845 48,040 497
0 success .0320 .0250 .0000 .0400 .0650 53,138 0 14,286 799 52,845 48,040 497
0 success .0260 .0270 .0010 .0240 .0520 53,138 0 14,286 799 52,845 48,040 497
0 success .0250 .0280 .0000 .0250 .0530 53,138 0 14,286 799 52,845 48,040 497
0 success .0250 .0280 .0000 .0210 .0490 53,138 0 14,286 799 52,845 48,040 497
0 success .0220 .0270 .0000 .0150 .0420 53,138 0 14,286 799 52,845 48,040 497
0 success .0170 .0210 .0000 .0180 .0390 53,138 0 14,286 799 52,845 48,040 497
0 success .0180 .0220 .0000 .0140 .0360 53,138 0 14,286 799 52,845 48,040 497
0 success .0180 .0180 .0010 .0170 .0360 53,138 0 14,286 799 52,845 48,040 497
0 success .0240 .0220 .0010 .0210 .0440 53,138 0 14,286 799 52,845 48,040 497
0 success .0170 .0240 .0010 .0140 .0390 53,138 0 14,286 799 52,845 48,040 497
0 success .0220 .0190 .0010 .0160 .0360 53,138 0 14,286 799 52,845 48,040 497
0 success .0240 .0200 .0010 .0230 .0440 53,138 0 14,286 799 52,845 48,040 497
0 success .0220 .0230 .0000 .0160 .0390 53,138 0 14,286 799 52,845 48,040 497
0 success .0190 .0230 .0000 .0160 .0390 53,138 0 14,286 799 52,845 48,040 497
0 success .0210 .0270 .0000 .0200 .0470 53,138 0 14,286 799 52,845 48,040 497
0 success .0190 .0270 .0010 .0210 .0490 53,138 0 14,286 799 52,845 48,040 497
0 success .0220 .0290 .0010 .0210 .0510 53,138 0 14,286 799 52,845 48,040 497
0 success .0150 .0190 .0000 .0100 .0290 53,138 0 14,286 799 52,845 48,040 497
0 success .0170 .0220 .0000 .0120 .0340 53,138 0 14,286 799 52,845 48,040 497
0 success .0190 .0200 .0000 .0110 .0310 53,138 0 14,286 799 52,845 48,040 497
0 success .0190 .0280 .0010 .0180 .0470 53,138 0 14,286 799 52,845 48,040 497
0 success .0210 .0270 .0010 .0160 .0440 53,138 0 14,286 799 52,845 48,040 497
0 success .0230 .0320 .0000 .0170 .0490 53,138 0 14,286 799 52,845 48,040 497
0 success .0200 .0280 .0000 .0120 .0400 53,138 0 14,286 799 52,845 48,040 497
0 success .0220 .0280 .0010 .0150 .0440 53,138 0 14,286 799 52,845 48,040 497
0 success .0170 .0280 .0000 .0150 .0430 53,138 0 14,286 799 52,845 48,040 497
0 success .0180 .0190 .0000 .0180 .0370 53,138 0 14,286 799 52,845 48,040 497
0 success .0130 .0220 .0010 .0110 .0340 53,138 0 14,286 799 52,845 48,040 497
0 success .0140 .0170 .0000 .0110 .0280 53,138 0 14,286 799 52,845 48,040 497
0 success .0130 .0240 .0010 .0110 .0360 53,138 0 14,286 799 52,845 48,040 497
0 success .0150 .0180 .0000 .0110 .0290 53,138 0 14,286 799 52,845 48,040 497
0 success .0120 .0180 .0010 .0130 .0320 53,138 0 14,286 799 52,845 48,040 497
0 success .0140 .0180 .0000 .0180 .0360 53,138 0 14,286 799 52,845 48,040 497
0 success .0170 .0220 .0000 .0180 .0400 53,138 0 14,286 799 52,845 48,040 497
0 success .0150 .0220 .0000 .0140 .0360 53,138 0 14,286 799 52,845 48,040 497
0 success .0160 .0210 .0000 .0130 .0340 53,138 0 14,286 799 52,845 48,040 497
0 success .0140 .0180 .0000 .0100 .0280 53,138 0 14,286 799 52,845 48,040 497
0 success .0130 .0180 .0000 .0110 .0290 53,138 0 14,286 799 52,845 48,040 497
0 success .0130 .0170 .0000 .0110 .0280 53,138 0 14,286 799 52,845 48,040 497
0 success .0140 .0170 .0000 .0100 .0270 53,138 0 14,286 799 52,845 48,040 497
0 success .0120 .0180 .0000 .0110 .0290 53,138 0 14,286 799 52,845 48,040 497
0 success .0130 .0170 .0000 .0100 .0270 53,138 0 14,286 799 52,845 48,040 497
0 success .0120 .0170 .0000 .0110 .0280 53,138 0 14,286 799 52,845 48,040 497
0 success .0120 .0170 .0000 .0100 .0270 53,138 0 14,286 799 52,845 48,040 497
0 success .0130 .0170 .0000 .0110 .0280 53,138 0 14,286 799 52,845 48,040 497
Average running time: 
id status vInterTimes filtTime SGbuildTime joinTime totTime nodesSumInvL nodesAfterPreFilt nodesAfterVinter nodesSG numSoln sizeOfSG sizeUncovSG
0 success .0201 .0233 .0004 .0176 .0413 53,138 0 14,286 799 52,845 48,040 497
Data loading Time:1.3860
Index building Time:.4400
Average Eval Time per run:1.2022
Average Eval Time per query:1.2022
Average pruning Time per run:.0000
Average pruning Time per query:.0000
Average Matching Time per run:.0130
Average Matching Time per query:.0130
Average Enumeration Time per run:.5411
Average Enumeration Time per query:.5411
Average Nodes before per query:53138.0000
Average Nodes after per query:799.0000
Average number of solution tuples per query:52845.0000
Max Used Memory:535.0000 MB
*****************************************************
