*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_q17.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,filtTime,matchTime,totTime,"""nodesSumInvL",nodesSG,sizeOfSG
0,success,.7520,.3960,1.1480,52901,8623,149118
*****************************************************
id,status,vInterTimes,filtTime,SGbuildTime,joinTime,totTime,nodesSumInvL,nodesAfterPreFilt,nodesAfterVinter,nodesSG,numSoln,sizeOfSG,sizeUncovSG
0,success,.0350,.3330,.0140,.0320,.3790,79070,10456,9026,485,13871,6960,2331
0,success,.0220,.3010,.0110,.0220,.3340,79070,10456,9026,485,13871,6960,2331
0,success,.0170,.2560,.0060,.0140,.2760,79070,10456,9026,485,13871,6960,2331
0,success,.0290,.2270,.0090,.0100,.2460,79070,10456,9026,485,13871,6960,2331
0,success,.0190,.2260,.0070,.0060,.2390,79070,10456,9026,485,13871,6960,2331
0,success,.0110,.1900,.0060,.0050,.2010,79070,10456,9026,485,13871,6960,2331
0,success,.0080,.2830,.0040,.0080,.2950,79070,10456,9026,485,13871,6960,2331
0,success,.0120,.1960,.0060,.0050,.2070,79070,10456,9026,485,13871,6960,2331
0,success,.0100,.2350,.0050,.0060,.2460,79070,10456,9026,485,13871,6960,2331
0,success,.0100,.2140,.0070,.0090,.2300,79070,10456,9026,485,13871,6960,2331
0,success,.0110,.2800,.0060,.0130,.2990,79070,10456,9026,485,13871,6960,2331
0,success,.0110,.2200,.0090,.0100,.2390,79070,10456,9026,485,13871,6960,2331
0,success,.0090,.2510,.0060,.0110,.2680,79070,10456,9026,485,13871,6960,2331
0,success,.0070,.2060,.0040,.0060,.2160,79070,10456,9026,485,13871,6960,2331
0,success,.0080,.1800,.0060,.0080,.1940,79070,10456,9026,485,13871,6960,2331
0,success,.0060,.1830,.0040,.0060,.1930,79070,10456,9026,485,13871,6960,2331
0,success,.0070,.2150,.0080,.0090,.2320,79070,10456,9026,485,13871,6960,2331
0,success,.0130,.4830,.0090,.0120,.5040,79070,10456,9026,485,13871,6960,2331
0,success,.0060,.2290,.0060,.0070,.2420,79070,10456,9026,485,13871,6960,2331
0,success,.0080,.2110,.0050,.0060,.2220,79070,10456,9026,485,13871,6960,2331
0,success,.0060,.2180,.0050,.0060,.2290,79070,10456,9026,485,13871,6960,2331
0,success,.0070,.1820,.0040,.0090,.1950,79070,10456,9026,485,13871,6960,2331
0,success,.0060,.2140,.0040,.0060,.2240,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.1830,.0050,.0060,.1940,79070,10456,9026,485,13871,6960,2331
0,success,.0060,.2330,.0070,.0090,.2490,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.1920,.0040,.0050,.2010,79070,10456,9026,485,13871,6960,2331
0,success,.0060,.1860,.0040,.0050,.1950,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.1880,.0050,.0050,.1980,79070,10456,9026,485,13871,6960,2331
0,success,.0080,.2070,.0040,.0090,.2200,79070,10456,9026,485,13871,6960,2331
0,success,.0060,.2880,.0050,.0060,.2990,79070,10456,9026,485,13871,6960,2331
0,success,.0040,.2710,.0070,.0090,.2870,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.2300,.0040,.0060,.2400,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.1800,.0040,.0090,.1930,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.3230,.0040,.0060,.3330,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.1910,.0040,.0060,.2010,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.1940,.0040,.0060,.2040,79070,10456,9026,485,13871,6960,2331
0,success,.0040,.1780,.0040,.0060,.1880,79070,10456,9026,485,13871,6960,2331
0,success,.0040,.1790,.0040,.0050,.1880,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.2150,.0050,.0060,.2260,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.1840,.0040,.0050,.1930,79070,10456,9026,485,13871,6960,2331
0,success,.0040,.1940,.0040,.0070,.2050,79070,10456,9026,485,13871,6960,2331
0,success,.0070,.2290,.0070,.0060,.2420,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.2290,.0050,.0110,.2450,79070,10456,9026,485,13871,6960,2331
0,success,.0040,.2060,.0040,.0050,.2150,79070,10456,9026,485,13871,6960,2331
0,success,.0040,.2790,.0040,.0060,.2890,79070,10456,9026,485,13871,6960,2331
0,success,.0060,.2270,.0050,.0060,.2380,79070,10456,9026,485,13871,6960,2331
0,success,.0060,.1790,.0060,.0060,.1910,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.2280,.0040,.0060,.2380,79070,10456,9026,485,13871,6960,2331
0,success,.0040,.1830,.0040,.0070,.1940,79070,10456,9026,485,13871,6960,2331
0,success,.0040,.3150,.0040,.0070,.3260,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.2650,.0060,.0050,.2760,79070,10456,9026,485,13871,6960,2331
0,success,.0050,.1900,.0040,.0090,.2030,79070,10456,9026,485,13871,6960,2331
