*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_q17.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,filtTime,matchTime,totTime,"""nodesSumInvL",nodesSG,sizeOfSG
0,success,.4840,.1780,.6620,65849,2847,41729
*****************************************************
id,status,vInterTimes,filtTime,SGbuildTime,joinTime,totTime,nodesSumInvL,nodesAfterPreFilt,nodesAfterVinter,nodesSG,numSoln,sizeOfSG,sizeUncovSG
0,success,.0120,.2810,.0100,.0250,.3160,79070,10456,952,485,13871,6960,1745
0,success,.0080,.1850,.0050,.0130,.2030,79070,10456,952,485,13871,6960,1745
0,success,.0050,.1510,.0040,.0080,.1630,79070,10456,952,485,13871,6960,1745
0,success,.0100,.1630,.0050,.0120,.1800,79070,10456,952,485,13871,6960,1745
0,success,.0050,.1510,.0040,.0050,.1600,79070,10456,952,485,13871,6960,1745
0,success,.0050,.1570,.0030,.0050,.1650,79070,10456,952,485,13871,6960,1745
0,success,.0050,.1610,.0040,.0080,.1730,79070,10456,952,485,13871,6960,1745
0,success,.0040,.1740,.0060,.0070,.1870,79070,10456,952,485,13871,6960,1745
0,success,.0080,.2180,.0050,.0110,.2340,79070,10456,952,485,13871,6960,1745
0,success,.0050,.1690,.0030,.0080,.1800,79070,10456,952,485,13871,6960,1745
0,success,.0050,.1770,.0030,.0060,.1860,79070,10456,952,485,13871,6960,1745
0,success,.0040,.1690,.0040,.0070,.1800,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1620,.0030,.0050,.1700,79070,10456,952,485,13871,6960,1745
0,success,.0050,.1540,.0040,.0050,.1630,79070,10456,952,485,13871,6960,1745
0,success,.0050,.2210,.0040,.0090,.2340,79070,10456,952,485,13871,6960,1745
0,success,.0060,.2230,.0050,.0080,.2360,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1710,.0040,.0060,.1810,79070,10456,952,485,13871,6960,1745
0,success,.0040,.2530,.0040,.0050,.2620,79070,10456,952,485,13871,6960,1745
0,success,.0040,.2460,.0030,.0050,.2540,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1550,.0030,.0040,.1620,79070,10456,952,485,13871,6960,1745
0,success,.0040,.1450,.0030,.0040,.1520,79070,10456,952,485,13871,6960,1745
0,success,.0040,.1550,.0030,.0040,.1620,79070,10456,952,485,13871,6960,1745
0,success,.0040,.2410,.0030,.0060,.2500,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1620,.0030,.0050,.1700,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1850,.0050,.0060,.1960,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1700,.0030,.0050,.1780,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1600,.0050,.0050,.1700,79070,10456,952,485,13871,6960,1745
0,success,.0050,.1880,.0040,.0090,.2010,79070,10456,952,485,13871,6960,1745
0,success,.0040,.2120,.0040,.0070,.2230,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1510,.0030,.0040,.1580,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1720,.0030,.0900,.2650,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1570,.0040,.0080,.1690,79070,10456,952,485,13871,6960,1745
0,success,.0050,.1520,.0040,.0060,.1620,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1950,.0030,.0050,.2030,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1490,.0030,.0050,.1570,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1530,.0030,.0040,.1600,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1950,.0040,.0050,.2040,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1910,.0040,.0050,.2000,79070,10456,952,485,13871,6960,1745
0,success,.0010,.1630,.0040,.0050,.1720,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1440,.0030,.0040,.1510,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1490,.0040,.0040,.1570,79070,10456,952,485,13871,6960,1745
0,success,.0030,.2670,.0050,.0050,.2770,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1710,.0030,.0060,.1800,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1640,.0030,.0080,.1750,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1730,.0050,.0070,.1850,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1480,.0020,.0050,.1550,79070,10456,952,485,13871,6960,1745
0,success,.0010,.1460,.0030,.0050,.1540,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1520,.1290,.0060,.2870,79070,10456,952,485,13871,6960,1745
0,success,.0010,.1620,.0030,.0060,.1710,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1930,.0030,.0270,.2230,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1920,.0030,.0040,.1990,79070,10456,952,485,13871,6960,1745
0,success,.0010,.1570,.0040,.0040,.1650,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1560,.0020,.0840,.2420,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1480,.0030,.0040,.1550,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1500,.0030,.0040,.1570,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1520,.0030,.0080,.1630,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1660,.0030,.0040,.1730,79070,10456,952,485,13871,6960,1745
0,success,.0030,.2930,.0040,.0060,.3030,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1730,.0030,.0050,.1810,79070,10456,952,485,13871,6960,1745
0,success,.0020,.2050,.0040,.0070,.2160,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1660,.0040,.0060,.1760,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1610,.0030,.0080,.1720,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1520,.0050,.0050,.1620,79070,10456,952,485,13871,6960,1745
0,success,.0040,.2310,.0030,.0040,.2380,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1600,.0040,.0050,.1690,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1510,.0020,.0040,.1570,79070,10456,952,485,13871,6960,1745
0,success,.0010,.1580,.0030,.0040,.1650,79070,10456,952,485,13871,6960,1745
0,success,.0040,.1730,.0050,.0060,.1840,79070,10456,952,485,13871,6960,1745
0,success,.0010,.1920,.0030,.0060,.2010,79070,10456,952,485,13871,6960,1745
0,success,.0030,.3450,.0040,.0060,.3550,79070,10456,952,485,13871,6960,1745
0,success,.0030,.2780,.0110,.0150,.3040,79070,10456,952,485,13871,6960,1745
0,success,.0010,.2140,.0050,.0050,.2240,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1630,.0030,.0050,.1710,79070,10456,952,485,13871,6960,1745
0,success,.0010,.1510,.0030,.0050,.1590,79070,10456,952,485,13871,6960,1745
0,success,.0030,.2280,.0030,.0040,.2350,79070,10456,952,485,13871,6960,1745
0,success,.0030,.2100,.0030,.0060,.2190,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1620,.0050,.0070,.1740,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1590,.0030,.0070,.1690,79070,10456,952,485,13871,6960,1745
0,success,.0020,.1670,.0030,.0080,.1780,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1450,.0030,.0040,.1520,79070,10456,952,485,13871,6960,1745
0,success,.0030,.1470,.0030,.0040,.1540,79070,10456,952,485,13871,6960,1745
