*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_q9.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,filtTime,matchTime,totTime,"""nodesSumInvL",nodesSG,sizeOfSG
0,success,.6880,.3240,1.0120,39706,810,80116
*****************************************************
id,status,vInterTimes,filtTime,SGbuildTime,joinTime,totTime,nodesSumInvL,nodesAfterPreFilt,nodesAfterVinter,nodesSG,numSoln,sizeOfSG,sizeUncovSG
0,success,.0360,.0300,.0020,.0660,.0980,53138,0,14242,799,52845,48040,497
0,success,.0350,.0270,.0010,.0240,.0520,53138,0,14242,799,52845,48040,497
0,success,.0350,.0380,.0010,.0280,.0670,53138,0,14242,799,52845,48040,497
0,success,.0270,.0330,.0000,.0260,.0590,53138,0,14242,799,52845,48040,497
0,success,.0260,.0350,.0000,.0360,.0710,53138,0,14242,799,52845,48040,497
0,success,.0210,.0290,.0000,.0270,.0560,53138,0,14242,799,52845,48040,497
0,success,.0240,.0340,.0010,.0240,.0590,53138,0,14242,799,52845,48040,497
0,success,.0240,.0260,.0000,.0290,.0550,53138,0,14242,799,52845,48040,497
0,success,.0220,.0310,.0000,.0330,.0640,53138,0,14242,799,52845,48040,497
0,success,.0160,.0180,.0010,.0120,.0310,53138,0,14242,799,52845,48040,497
0,success,.0180,.0230,.0000,.0160,.0390,53138,0,14242,799,52845,48040,497
0,success,.0130,.0190,.0010,.0110,.0310,53138,0,14242,799,52845,48040,497
0,success,.0140,.0180,.0000,.0130,.0310,53138,0,14242,799,52845,48040,497
0,success,.0140,.0170,.0000,.0120,.0290,53138,0,14242,799,52845,48040,497
0,success,.0150,.0180,.0000,.0120,.0300,53138,0,14242,799,52845,48040,497
0,success,.0140,.0190,.0000,.0120,.0310,53138,0,14242,799,52845,48040,497
0,success,.0190,.0280,.0010,.0210,.0500,53138,0,14242,799,52845,48040,497
0,success,.0210,.0290,.0010,.0190,.0490,53138,0,14242,799,52845,48040,497
0,success,.0190,.0190,.0000,.0200,.0390,53138,0,14242,799,52845,48040,497
0,success,.0180,.0190,.0010,.0160,.0360,53138,0,14242,799,52845,48040,497
0,success,.0160,.0200,.0010,.0170,.0380,53138,0,14242,799,52845,48040,497
0,success,.0160,.0190,.0000,.0190,.0380,53138,0,14242,799,52845,48040,497
0,success,.0160,.0180,.0000,.0150,.0330,53138,0,14242,799,52845,48040,497
0,success,.0150,.0180,.0000,.0150,.0330,53138,0,14242,799,52845,48040,497
0,success,.0170,.0240,.0000,.0140,.0380,53138,0,14242,799,52845,48040,497
0,success,.0160,.0170,.0010,.0140,.0320,53138,0,14242,799,52845,48040,497
0,success,.0130,.0170,.0010,.0140,.0320,53138,0,14242,799,52845,48040,497
0,success,.0140,.0210,.0000,.0120,.0330,53138,0,14242,799,52845,48040,497
0,success,.0110,.0170,.0010,.0110,.0290,53138,0,14242,799,52845,48040,497
0,success,.0120,.0170,.0000,.0130,.0300,53138,0,14242,799,52845,48040,497
0,success,.0120,.0170,.0000,.0110,.0280,53138,0,14242,799,52845,48040,497
0,success,.0110,.0180,.0000,.0110,.0290,53138,0,14242,799,52845,48040,497
0,success,.0160,.0190,.0010,.0100,.0300,53138,0,14242,799,52845,48040,497
0,success,.0130,.0160,.0000,.0110,.0270,53138,0,14242,799,52845,48040,497
0,success,.0110,.0170,.0000,.0110,.0280,53138,0,14242,799,52845,48040,497
0,success,.0120,.0170,.0000,.0160,.0330,53138,0,14242,799,52845,48040,497
0,success,.0130,.0180,.0000,.0160,.0340,53138,0,14242,799,52845,48040,497
0,success,.0150,.0180,.0010,.0160,.0350,53138,0,14242,799,52845,48040,497
0,success,.0150,.0180,.0010,.0150,.0340,53138,0,14242,799,52845,48040,497
0,success,.0130,.0180,.0010,.0150,.0340,53138,0,14242,799,52845,48040,497
0,success,.0140,.0190,.0000,.0150,.0340,53138,0,14242,799,52845,48040,497
0,success,.0160,.0190,.0000,.0160,.0350,53138,0,14242,799,52845,48040,497
0,success,.0140,.0190,.0000,.0160,.0350,53138,0,14242,799,52845,48040,497
0,success,.0170,.0220,.0000,.0160,.0380,53138,0,14242,799,52845,48040,497
0,success,.0140,.0180,.0000,.0160,.0340,53138,0,14242,799,52845,48040,497
0,success,.0140,.0180,.0010,.0160,.0350,53138,0,14242,799,52845,48040,497
0,success,.0130,.0200,.0010,.0150,.0360,53138,0,14242,799,52845,48040,497
0,success,.0130,.0210,.0010,.0150,.0370,53138,0,14242,799,52845,48040,497
0,success,.0140,.0200,.0000,.0160,.0360,53138,0,14242,799,52845,48040,497
0,success,.0130,.0200,.0010,.0150,.0360,53138,0,14242,799,52845,48040,497
Average,running,time:,
id,status,vInterTimes,filtTime,SGbuildTime,joinTime,totTime,nodesSumInvL,nodesAfterPreFilt,nodesAfterVinter,nodesSG,numSoln,sizeOfSG,sizeUncovSG
0,success,.0170,.0214,.0004,.0178,.0396,53138,0,14242,799,52845,48040,497

Data loading Time,1.4500
Index building Time,.4090
Average Eval Time per run,1.1272
Average Eval Time per query,1.1272
Average pruning Time per run,.0000
Average pruning Time per query,.0000
Average Matching Time per run,.0117
Average Matching Time per query,.0117
Average Enumeration Time per run,.5202
Average Enumeration Time per query,.5202
Average Nodes before per query,53138.0000
Average Nodes after per query,799.0000
Average number of solution tuples per query,52845.0000
Max Used Memory,336.0000 MB
*****************************************************
