*****************************************************
Dataset:/home/xiaoying/work/experiments/GraHomMat/input/am_lb3.dag
V:403394 E:1267904 lbs:3
Queryset:/home/xiaoying/work/experiments/GraHomMat/input/inst_lb3_cyc_c.qry
Algorithm:DagEval_IEfltsim
id status preTime planTime matchTime enumTime totTime numNodesBefore numNodesAfter numSoln numPlans sizeOfAG
0 success .99 .00 .66 .10 1.75 402,785 329,317 46,127 0 709,311
1 success .80 .00 .77 .25 1.82 536,208 431,262 197,170 0 933,468
2 success .70 .00 .82 .10 1.62 538,055 416,718 23,405 0 890,250
3 success .70 .00 .98 .07 1.75 537,446 416,197 20,963 0 1,003,763
4 success .67 .00 1.01 .10 1.78 538,075 416,219 17,124 0 1,017,102
5 success .66 .00 1.08 .09 1.83 536,837 415,410 12,233 0 1,130,052
6 success .68 .00 1.89 .07 2.64 671,518 497,966 2,627 0 1,611,199
7 success .66 .00 1.09 .07 1.82 672,756 498,702 16,145 0 1,164,086
8 success .85 .00 1.44 .44 2.73 807,397 672,306 74,288 0 1,734,777
9 success .69 .00 1.44 .08 2.21 805,550 598,123 7,759 0 1,504,090
10 success .69 .00 1.43 .08 2.20 806,768 582,935 15,759 0 1,336,550
11 success .69 .00 1.09 .14 1.92 805,570 576,545 5,356 0 1,217,364
12 success .89 .00 1.29 .13 2.31 806,788 652,116 36,780 0 1,493,518
13 success .88 .00 3.13 .08 4.09 942,078 655,609 70 0 2,797,814
Average running time: 
id status preTime planTime matchTime enumTime totTime totNodesBefore totNodesAfter numOfTuples numPlans sizeOfAG
0 success .99 .00 .66 .10 1.75 402,785 329,317 46,127 0 709,311
1 success .80 .00 .77 .25 1.82 536,208 431,262 197,170 0 933,468
2 success .70 .00 .82 .10 1.62 538,055 416,718 23,405 0 890,250
3 success .70 .00 .98 .07 1.75 537,446 416,197 20,963 0 1,003,763
4 success .67 .00 1.01 .10 1.78 538,075 416,219 17,124 0 1,017,102
5 success .66 .00 1.08 .09 1.83 536,837 415,410 12,233 0 1,130,052
6 success .68 .00 1.89 .07 2.64 671,518 497,966 2,627 0 1,611,199
7 success .66 .00 1.09 .07 1.82 672,756 498,702 16,145 0 1,164,086
8 success .85 .00 1.44 .44 2.73 807,397 672,306 74,288 0 1,734,777
9 success .69 .00 1.44 .08 2.21 805,550 598,123 7,759 0 1,504,090
10 success .69 .00 1.43 .08 2.20 806,768 582,935 15,759 0 1,336,550
11 success .69 .00 1.09 .14 1.92 805,570 576,545 5,356 0 1,217,364
12 success .89 .00 1.29 .13 2.31 806,788 652,116 36,780 0 1,493,518
13 success .88 .00 3.13 .08 4.09 942,078 655,609 70 0 2,797,814
Data loading Time:2.52
Index building Time:.77
Average Eval Time per run:30.47
Average Eval Time per query:2.18
Average pruning Time per run:.00
Average pruning Time per query:.00
Average Plan Time per run:.00
Average Plan Time per query:.00
Average Matching Time per run:18.11
Average Matching Time per query:1.29
Average Enumeration Time per run:1.81
Average Enumeration Time per query:.13
Average Nodes before per query:671987.93
Average Nodes after per query:511387.50
Average number of solution tuples per query:33986.14
Max Used Memory:3622.00 MB
*****************************************************
