*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\bs_lb5.dag
V:685230,E:4029494,lbs:5
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb5_cyc_c_2Eviews_q12.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,1.16,.25,1.41,411887,180253,512963
1,success,1.03,.35,1.38,411562,163100,495810
2,success,1.33,.40,1.73,411887,180253,512963
3,success,1.53,.17,1.69,411562,129388,397937
4,success,1.21,.43,1.64,411562,163100,495810
5,success,1.49,.33,1.82,411562,129388,397937
6,success,1.28,.15,1.43,411887,110846,371432
7,success,1.15,.12,1.27,411562,90018,258342
8,success,1.15,.23,1.38,411237,181339,516777
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,1.47,.49,1.96,686045,71455,2030874,520886
0,success,.00,1.23,.48,1.71,686045,71455,2030874,520886
0,success,.00,1.24,.36,1.61,686045,71455,2030874,520886
0,success,.00,1.33,.46,1.79,686045,71455,2030874,520886
0,success,.00,1.31,.45,1.76,686045,71455,2030874,520886
0,success,.00,1.36,.43,1.79,686045,71455,2030874,520886
0,success,.00,1.25,.46,1.71,686045,71455,2030874,520886
0,success,.00,1.23,.46,1.68,686045,71455,2030874,520886
0,success,.00,1.36,.47,1.83,686045,71455,2030874,520886
0,success,.00,1.30,.44,1.74,686045,71455,2030874,520886
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,1.31,.45,1.76,686045,71455,2030874,520886

Data loading Time,5.04
Index building Time,.59
Average Eval Time per run,9.72
Average Eval Time per query,9.72
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,7.23
Average Matching Time per query,7.23
Average Enumeration Time per run,2.49
Average Enumeration Time per query,2.49
Average Nodes before per query,686045.00
Average Nodes after per query,71455.00
Average number of solution tuples per query,2030874.00
Max Used Memory,2987.00 MB
*****************************************************
