*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\bs_lb5.dag
V:685230,E:4029494,lbs:5
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb5_cyc_c_2Eviews_q13.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.90,.11,1.00,411385,85139,247232
1,success,.95,.16,1.11,410814,113426,379046
2,success,.85,.10,.95,410568,82005,230457
3,success,1.57,.10,1.67,411139,81590,234254
4,success,.99,.12,1.10,410814,88366,245639
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.52,.82,1.34,685051,36311,4347713,188503
0,success,.00,.33,.60,.93,685051,36311,4347713,188503
0,success,.00,.39,.60,.99,685051,36311,4347713,188503
0,success,.00,.31,.59,.90,685051,36311,4347713,188503
0,success,.00,.29,.61,.91,685051,36311,4347713,188503
0,success,.00,.33,.84,1.17,685051,36311,4347713,188503
0,success,.00,.35,.71,1.07,685051,36311,4347713,188503
0,success,.00,.47,.69,1.16,685051,36311,4347713,188503
0,success,.00,.31,.57,.88,685051,36311,4347713,188503
0,success,.00,.33,.60,.93,685051,36311,4347713,188503
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.36,.66,1.03,685051,36311,4347713,188503

Data loading Time,4.92
Index building Time,.56
Average Eval Time per run,5.77
Average Eval Time per query,5.77
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,2.06
Average Matching Time per query,2.06
Average Enumeration Time per run,3.71
Average Enumeration Time per query,3.71
Average Nodes before per query,685051.00
Average Nodes after per query,36311.00
Average number of solution tuples per query,4347713.00
Max Used Memory,2987.00 MB
*****************************************************
